Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Great Fen,WienerNet-SS (Student-t),0.895 ± 0.019,1.88 ± 0.04,2.72 ± 0.73,0.526 ± 0.040,0.841 ± 0.035,0.883 ± 0.031,4.58 ± 0.84,0.054 ± 0.010,1.80 ± 0.30,-0.01 ± 0.01,14.8 ± 0.4,35.43 ± 45.32,5
Great Fen,WienerNet-SS (mixture),0.892 ± 0.009,2.01 ± 0.10,2.85 ± 0.49,0.456 ± 0.084,0.876 ± 0.030,0.926 ± 0.017,5.24 ± 0.49,0.049 ± 0.030,0.94 ± 0.25,-0.01 ± 0.01,15.1 ± 0.2,33.33 ± 20.05,5
Great Fen,WienerNet-SS (+residual),0.900 ± 0.019,4.29 ± 2.07,2.31 ± 0.18,0.422 ± 0.079,0.797 ± 0.070,0.851 ± 0.060,3.97 ± 0.93,0.067 ± 0.041,2.58 ± 0.83,-0.01 ± 0.01,14.9 ± 0.5,14.75 ± 7.16,5
Great Fen,WienerNet-SS (predicted-k),0.884 ± 0.005,2.89 ± 0.52,2.38 ± 0.20,0.469 ± 0.070,0.840 ± 0.044,0.889 ± 0.033,4.42 ± 0.87,0.044 ± 0.008,2.01 ± 0.35,-0.01 ± 0.01,15.3 ± 0.0,17.32 ± 8.55,5
Great Fen,WienerNet-SS (state-space),0.891 ± 0.011,4.40 ± 1.49,2.29 ± 0.12,0.399 ± 0.066,0.782 ± 0.061,0.841 ± 0.051,3.76 ± 0.69,0.068 ± 0.036,2.69 ± 0.66,-0.00 ± 0.01,15.0 ± 0.3,10.84 ± 3.65,5
Great Fen,"WienerNet-SS (state-space, +residual)",0.887 ± 0.013,3.47 ± 0.80,2.25 ± 0.15,0.396 ± 0.064,0.792 ± 0.054,0.852 ± 0.044,3.69 ± 0.76,0.067 ± 0.030,2.36 ± 0.45,-0.00 ± 0.01,15.1 ± 0.3,9.12 ± 3.88,5
Great Fen,"WienerNet-SS (state-space, predicted-k)",0.881 ± 0.005,3.26 ± 0.53,2.26 ± 0.08,0.403 ± 0.040,0.802 ± 0.034,0.860 ± 0.028,3.73 ± 0.42,0.052 ± 0.023,2.28 ± 0.28,-0.01 ± 0.01,15.3 ± 0.1,8.84 ± 3.04,5
Great Fen,"WienerNet-SS (given-diurnal, Wiener)",0.895 ± 0.004,4.38 ± 0.66,2.31 ± 0.10,0.404 ± 0.044,0.778 ± 0.034,0.836 ± 0.029,3.81 ± 0.53,0.061 ± 0.018,2.74 ± 0.30,-0.01 ± 0.00,15.3 ± 0.0,11.04 ± 3.62,5
Great Fen,"WienerNet-SS (given-diurnal, state-sp)",0.890 ± 0.009,4.21 ± 1.14,2.26 ± 0.12,0.385 ± 0.053,0.773 ± 0.054,0.836 ± 0.046,3.65 ± 0.57,0.064 ± 0.030,2.66 ± 0.49,-0.01 ± 0.00,15.3 ± 0.0,9.57 ± 3.70,5
Great Fen,Neural SDE (Gaussian),0.921 ± 0.028,1.95 ± 0.05,2.65 ± 0.11,0.613 ± 0.049,0.887 ± 0.023,0.919 ± 0.017,5.44 ± 0.47,0.097 ± 0.019,1.09 ± 0.10,-0.04 ± 0.06,14.0 ± 0.9,30.93 ± 20.78,5
Great Fen,Neural SDE (Student-t),0.899 ± 0.013,1.90 ± 0.05,2.35 ± 0.03,0.519 ± 0.029,0.831 ± 0.022,0.874 ± 0.019,4.21 ± 0.20,0.049 ± 0.022,1.68 ± 0.16,-0.02 ± 0.03,14.5 ± 0.7,17.19 ± 4.31,5
Great Fen,Neural SDE (ALD),0.895 ± 0.016,4.57 ± 2.81,2.30 ± 0.09,0.402 ± 0.072,0.783 ± 0.079,0.842 ± 0.066,3.81 ± 0.66,0.066 ± 0.041,2.67 ± 0.98,-0.02 ± 0.01,14.7 ± 0.9,11.46 ± 5.09,5
Great Fen,Mean-variance (Gaussian),0.876 ± 0.005,1.90 ± 0.05,2.46 ± 0.12,0.600 ± 0.025,0.878 ± 0.017,0.909 ± 0.015,4.77 ± 0.47,0.071 ± 0.017,1.16 ± 0.11,0.00 ± 0.00,15.2 ± 0.1,14.39 ± 2.58,5
Great Fen,Mean-variance (Student-t),0.882 ± 0.009,1.93 ± 0.09,2.24 ± 0.14,0.461 ± 0.049,0.786 ± 0.040,0.836 ± 0.034,3.59 ± 0.58,0.056 ± 0.017,1.96 ± 0.28,0.00 ± 0.00,15.2 ± 0.1,7.89 ± 2.03,5
Great Fen,Mean-variance (ALD),0.883 ± 0.011,3.78 ± 0.95,2.22 ± 0.08,0.384 ± 0.045,0.780 ± 0.045,0.842 ± 0.038,3.48 ± 0.46,0.062 ± 0.025,2.51 ± 0.44,-0.01 ± 0.00,15.3 ± 0.0,9.06 ± 2.72,5
Great Fen,Analytical SDE (Gaussian),0.907,2.07,2.43,0.652,0.887,0.913,4.94,0.093,1.20,-0.01,15.0,20.38,1
Great Fen,Analytical SDE (Student-t),0.897,1.89,2.26,0.588,0.849,0.883,4.12,0.063,1.43,-0.01,15.0,12.71,1
Great Fen,MDN (mixture),0.892 ± 0.018,1.81 ± 0.04,2.42 ± 0.22,0.304 ± 0.079,0.811 ± 0.063,0.890 ± 0.040,4.22 ± 1.04,0.106 ± 0.045,1.49 ± 0.25,-0.01 ± 0.01,15.3 ± 0.0,14.17 ± 8.52,5
Great Fen,Random Forest,—,—,1.58 ± 0.01,—,—,—,—,—,—,—,—,—,5
Great Fen,XGBoost,—,—,1.61 ± 0.00,—,—,—,—,—,—,—,—,—,5
