Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Woodwalton,Random Forest,—,—,1.57 ± 0.02,—,—,—,—,—,—,—,—,—,5
Woodwalton,XGBoost,—,—,2.31 ± 0.00,—,—,—,—,—,—,—,—,—,5
Rosedene,"WienerNet-SS (ALD, primary)",0.726 ± 0.011,4.58 ± 1.32,2.01 ± 0.09,0.377 ± 0.049,0.772 ± 0.049,0.834 ± 0.040,2.46 ± 0.43,0.072 ± 0.031,2.95 ± 0.48,-0.00 ± 0.00,41.9 ± 0.1,5.18 ± 2.08,5
Rosedene,WienerNet-SS (Gaussian),0.762 ± 0.017,1.76 ± 0.07,2.47 ± 0.17,0.712 ± 0.029,0.922 ± 0.012,0.942 ± 0.009,4.82 ± 0.51,0.128 ± 0.013,1.05 ± 0.08,-0.01 ± 0.01,41.1 ± 0.8,15.85 ± 4.05,5
Rosedene,WienerNet-SS (beta-NLL),0.723 ± 0.012,1.91 ± 0.15,2.15 ± 0.10,0.576 ± 0.067,0.857 ± 0.038,0.890 ± 0.030,3.31 ± 0.55,0.064 ± 0.019,1.48 ± 0.22,-0.01 ± 0.01,41.4 ± 0.6,7.90 ± 3.34,5
Rosedene,WienerNet-SS (Student-t),0.718 ± 0.005,1.51 ± 0.04,2.14 ± 0.12,0.543 ± 0.043,0.846 ± 0.027,0.886 ± 0.023,3.19 ± 0.48,0.044 ± 0.016,1.82 ± 0.25,-0.00 ± 0.00,41.8 ± 0.2,7.64 ± 2.11,5
Rosedene,WienerNet-SS (mixture),0.722 ± 0.005,1.79 ± 0.08,2.30 ± 0.21,0.482 ± 0.060,0.854 ± 0.053,0.908 ± 0.037,3.53 ± 0.86,0.037 ± 0.013,1.18 ± 0.25,-0.00 ± 0.00,41.9 ± 0.1,12.10 ± 6.10,5
Rosedene,WienerNet-SS (+residual),0.728 ± 0.012,4.07 ± 1.29,2.06 ± 0.10,0.434 ± 0.100,0.804 ± 0.064,0.859 ± 0.050,2.86 ± 0.66,0.059 ± 0.031,2.70 ± 0.55,-0.00 ± 0.01,41.8 ± 0.3,6.45 ± 2.60,5
Rosedene,WienerNet-SS (predicted-k),0.726 ± 0.006,3.68 ± 1.06,2.07 ± 0.09,0.444 ± 0.075,0.815 ± 0.048,0.867 ± 0.038,2.94 ± 0.54,0.044 ± 0.028,2.55 ± 0.47,-0.00 ± 0.00,41.9 ± 0.1,7.06 ± 2.97,5
Rosedene,WienerNet-SS (state-space),0.726 ± 0.011,4.30 ± 2.56,2.04 ± 0.09,0.436 ± 0.090,0.810 ± 0.072,0.863 ± 0.060,2.82 ± 0.63,0.046 ± 0.041,2.70 ± 0.91,-0.00 ± 0.00,41.9 ± 0.2,6.12 ± 2.59,5
Rosedene,"WienerNet-SS (state-space, +residual)",0.738 ± 0.028,2.93 ± 0.81,2.17 ± 0.17,0.524 ± 0.094,0.864 ± 0.048,0.904 ± 0.037,3.63 ± 1.02,0.055 ± 0.033,2.10 ± 0.49,-0.00 ± 0.00,41.6 ± 0.8,12.06 ± 10.03,5
Rosedene,"WienerNet-SS (state-space, predicted-k)",0.723 ± 0.011,2.73 ± 0.66,2.16 ± 0.24,0.493 ± 0.098,0.857 ± 0.053,0.901 ± 0.039,3.42 ± 1.12,0.059 ± 0.044,2.06 ± 0.50,-0.00 ± 0.00,41.9 ± 0.1,8.84 ± 7.48,5
Rosedene,"WienerNet-SS (given-diurnal, Wiener)",0.736 ± 0.012,5.71 ± 0.74,2.01 ± 0.08,0.396 ± 0.090,0.771 ± 0.046,0.831 ± 0.033,2.56 ± 0.61,0.075 ± 0.022,3.31 ± 0.28,-0.00 ± 0.00,41.9 ± 0.0,4.98 ± 3.10,5
Rosedene,"WienerNet-SS (given-diurnal, state-sp)",0.729 ± 0.006,4.03 ± 1.32,2.05 ± 0.07,0.446 ± 0.073,0.815 ± 0.049,0.865 ± 0.040,2.84 ± 0.49,0.048 ± 0.024,2.67 ± 0.54,-0.00 ± 0.00,41.9 ± 0.0,6.23 ± 2.11,5
Rosedene,Neural SDE (Gaussian),0.750 ± 0.016,1.74 ± 0.07,2.39 ± 0.15,0.665 ± 0.058,0.906 ± 0.026,0.929 ± 0.020,4.39 ± 0.63,0.111 ± 0.013,1.15 ± 0.18,-0.02 ± 0.01,40.2 ± 0.3,16.30 ± 5.14,5
Rosedene,Neural SDE (Student-t),0.723 ± 0.005,1.52 ± 0.04,2.21 ± 0.15,0.560 ± 0.054,0.856 ± 0.037,0.894 ± 0.030,3.45 ± 0.62,0.060 ± 0.014,1.70 ± 0.32,-0.00 ± 0.01,41.6 ± 0.3,9.57 ± 2.63,5
Rosedene,Neural SDE (ALD),0.736 ± 0.028,294.42 ± 651.75,2.12 ± 0.13,0.440 ± 0.058,0.823 ± 0.053,0.874 ± 0.044,3.08 ± 0.61,0.055 ± 0.037,12.58 ± 23.17,-0.01 ± 0.02,41.2 ± 1.0,9.28 ± 5.39,5
Rosedene,Mean-variance (Gaussian),0.754 ± 0.013,1.68 ± 0.01,2.54 ± 0.13,0.734 ± 0.028,0.934 ± 0.010,0.951 ± 0.008,5.08 ± 0.46,0.134 ± 0.014,0.94 ± 0.08,-0.00 ± 0.00,41.7 ± 0.2,16.50 ± 4.04,5
Rosedene,Mean-variance (Student-t),0.723 ± 0.009,1.50 ± 0.01,2.32 ± 0.14,0.627 ± 0.041,0.895 ± 0.023,0.924 ± 0.018,4.01 ± 0.50,0.079 ± 0.024,1.38 ± 0.19,0.00 ± 0.00,41.9 ± 0.1,12.37 ± 5.16,5
Rosedene,Mean-variance (ALD),0.722 ± 0.005,2.50 ± 0.49,2.27 ± 0.24,0.531 ± 0.051,0.878 ± 0.029,0.916 ± 0.023,3.80 ± 0.83,0.036 ± 0.019,1.92 ± 0.32,0.00 ± 0.00,42.0 ± 0.1,11.45 ± 5.41,5
Rosedene,Analytical SDE (Gaussian),0.785,2.04,2.33,0.738,0.911,0.931,4.71,0.142,1.21,-0.00,42.0,13.97,1
Rosedene,Analytical SDE (Student-t),0.765,1.54,1.84,0.406,0.680,0.726,1.55,0.108,3.66,-0.00,42.0,1.89,1
Rosedene,MDN (mixture),0.717 ± 0.006,1.50 ± 0.05,2.41 ± 0.10,0.533 ± 0.044,0.907 ± 0.018,0.941 ± 0.012,4.39 ± 0.47,0.036 ± 0.019,1.23 ± 0.13,-0.00 ± 0.00,42.0 ± 0.1,13.90 ± 4.40,5
Rosedene,Random Forest,—,—,1.61 ± 0.01,—,—,—,—,—,—,—,—,—,5
Rosedene,XGBoost,—,—,1.73 ± 0.00,—,—,—,—,—,—,—,—,—,5
Redmere 1,"WienerNet-SS (ALD, primary)",0.685 ± 0.020,4955933.40 ± 857381.51,2.50 ± 0.12,0.494 ± 0.008,0.874 ± 0.013,0.914 ± 0.012,3.63 ± 0.10,0.038 ± 0.009,3133.00 ± 277.59,-2.21 ± 1.23,134.9 ± 9.0,11.72 ± 4.02,5
Redmere 1,WienerNet-SS (Gaussian),4.252 ± 4.367,60818.69 ± 85629.62,464.68 ± 786.02,0.683 ± 0.022,0.924 ± 0.009,0.945 ± 0.009,51.25 ± 56.96,0.113 ± 0.006,220.10 ± 302.24,-2.75 ± 1.24,129.7 ± 6.8,16.69 ± 11.24,5
Redmere 1,WienerNet-SS (beta-NLL),1.999 ± 1.409,763599.12 ± 1022109.25,98.44 ± 111.89,0.669 ± 0.015,0.916 ± 0.008,0.939 ± 0.006,21.82 ± 18.86,0.112 ± 0.010,1031.60 ± 758.44,-2.00 ± 0.22,133.2 ± 5.9,13.14 ± 1.75,5
Redmere 1,WienerNet-SS (Student-t),1.025 ± 0.533,1.68 ± 0.12,36.54 ± 56.93,0.559 ± 0.011,0.871 ± 0.013,0.908 ± 0.013,8.69 ± 7.20,0.054 ± 0.015,1867.16 ± 883.35,-1.45 ± 1.38,112.2 ± 25.1,7.70 ± 1.70,5
Redmere 1,WienerNet-SS (mixture),0.702 ± 0.117,38442.81 ± 21617.24,5.74 ± 7.47,0.436 ± 0.036,0.878 ± 0.010,0.930 ± 0.008,4.38 ± 1.73,0.050 ± 0.026,258.32 ± 111.60,-2.47 ± 1.73,114.5 ± 58.6,12.81 ± 3.65,5
Redmere 1,WienerNet-SS (+residual),1.198 ± 1.154,3242422.62 ± 2311839.57,60.14 ± 128.48,0.522 ± 0.039,0.889 ± 0.015,0.928 ± 0.011,13.27 ± 20.87,0.036 ± 0.020,2230.02 ± 1371.98,-2.29 ± 1.24,128.2 ± 8.6,12.45 ± 3.05,5
Redmere 1,WienerNet-SS (predicted-k),0.958 ± 0.527,2290714.59 ± 3268780.48,48.39 ± 91.13,0.526 ± 0.066,0.883 ± 0.038,0.923 ± 0.029,8.55 ± 9.74,0.039 ± 0.024,1343.37 ± 1856.90,-4.38 ± 1.30,130.3 ± 5.9,11.13 ± 6.21,5
Redmere 1,WienerNet-SS (state-space),1.329 ± 0.822,1477314.96 ± 1742504.53,128.44 ± 128.27,0.513 ± 0.029,0.885 ± 0.012,0.925 ± 0.007,16.44 ± 15.14,0.042 ± 0.011,1458.14 ± 1012.30,-0.55 ± 0.43,119.3 ± 12.8,8.25 ± 2.06,5
Redmere 1,"WienerNet-SS (state-space, +residual)",2.418 ± 2.819,2191186.36 ± 2153675.50,200.24 ± 335.04,0.487 ± 0.032,0.871 ± 0.016,0.915 ± 0.012,35.29 ± 51.01,0.046 ± 0.022,1756.48 ± 1271.10,-1.96 ± 1.39,123.2 ± 15.8,8.77 ± 2.58,5
Redmere 1,"WienerNet-SS (state-space, predicted-k)",1.580 ± 1.250,2441982.98 ± 2627498.64,121.23 ± 156.69,0.503 ± 0.037,0.879 ± 0.031,0.920 ± 0.024,20.15 ± 22.98,0.031 ± 0.013,1818.02 ± 1397.75,-4.16 ± 1.60,131.7 ± 7.3,10.66 ± 3.98,5
Redmere 1,"WienerNet-SS (given-diurnal, Wiener)",0.598 ± 0.004,109845.48 ± 1285.94,1.80 ± 0.08,0.488 ± 0.034,0.855 ± 0.019,0.898 ± 0.014,3.48 ± 0.25,0.032 ± 0.007,468.70 ± 2.73,-0.00 ± 0.00,13.2 ± 0.0,8.45 ± 3.94,5
Redmere 1,"WienerNet-SS (given-diurnal, state-sp)",0.594 ± 0.007,73270.87 ± 39139.75,1.85 ± 0.06,0.485 ± 0.020,0.867 ± 0.013,0.911 ± 0.009,3.49 ± 0.15,0.028 ± 0.004,369.41 ± 112.18,-0.00 ± 0.00,13.2 ± 0.0,8.61 ± 3.62,5
Redmere 1,Neural SDE (Gaussian),7.491 ± 3.284,88828.63 ± 154365.78,473.60 ± 400.32,0.678 ± 0.031,0.923 ± 0.013,0.944 ± 0.009,62.40 ± 58.13,0.117 ± 0.014,284.20 ± 347.77,-20847.87 ± 15646.82,1211.5 ± 162.1,18.80 ± 8.03,5
Redmere 1,Neural SDE (Student-t),5.468 ± 2.678,1.52 ± 0.06,837.25 ± 965.70,0.568 ± 0.028,0.885 ± 0.009,0.921 ± 0.004,60.26 ± 47.79,0.061 ± 0.007,15127.34 ± 28377.91,-2381.19 ± 1725.16,1211.2 ± 153.1,12.33 ± 3.15,5
Redmere 1,Neural SDE (ALD),1.409 ± 0.731,449708808.24 ± 807847334.41,52.78 ± 86.14,0.497 ± 0.032,0.884 ± 0.017,0.925 ± 0.012,9.97 ± 14.13,0.039 ± 0.017,20475.77 ± 24471.79,-134.65 ± 235.62,1058.8 ± 769.8,10.90 ± 1.99,5
Redmere 1,Mean-variance (Gaussian),1.506 ± 0.435,1.52 ± 0.03,24.68 ± 9.32,0.686 ± 0.027,0.929 ± 0.010,0.950 ± 0.007,6.73 ± 0.66,0.107 ± 0.017,0.90 ± 0.07,-345.26 ± 285.00,1155.9 ± 139.6,40.78 ± 64.65,5
Redmere 1,Mean-variance (Student-t),1.349 ± 0.491,1.41 ± 0.05,24.24 ± 13.95,0.570 ± 0.007,0.887 ± 0.004,0.923 ± 0.005,5.64 ± 0.45,0.062 ± 0.004,55.72 ± 121.73,-293.76 ± 307.98,1332.6 ± 494.9,8.30 ± 1.45,5
Redmere 1,Mean-variance (ALD),0.776 ± 0.139,20675355.21 ± 24968771.51,6.23 ± 2.76,0.471 ± 0.005,0.870 ± 0.005,0.915 ± 0.003,3.76 ± 1.04,0.033 ± 0.007,5222.85 ± 4191.78,-16.42 ± 20.02,1378.4 ± 1123.0,6.68 ± 1.29,5
Redmere 1,Analytical SDE (Gaussian),0.655,1.68,1.98,0.780,0.953,0.969,5.14,0.154,0.76,0.01,13.3,40.58,1
Redmere 1,Analytical SDE (Student-t),0.601,1.39,1.34,0.419,0.725,0.774,1.75,0.084,2.24,0.01,13.3,3.48,1
Redmere 1,MDN (mixture),1.518 ± 0.703,1.46 ± 0.05,27.56 ± 17.88,0.463 ± 0.044,0.893 ± 0.018,0.938 ± 0.010,8.04 ± 1.52,0.042 ± 0.019,1.12 ± 0.07,-397.41 ± 578.78,1514.7 ± 892.2,32.41 ± 31.32,5
Redmere 1,Random Forest,—,—,1.28 ± 0.01,—,—,—,—,—,—,—,—,—,5
Redmere 1,XGBoost,—,—,1.35 ± 0.00,—,—,—,—,—,—,—,—,—,5
Redmere 2,"WienerNet-SS (ALD, primary)",0.711 ± 0.005,3.61 ± 1.63,2.11 ± 0.25,0.547 ± 0.080,0.828 ± 0.072,0.873 ± 0.061,3.67 ± 1.07,0.076 ± 0.025,2.36 ± 0.86,-0.02 ± 0.02,19.4 ± 0.1,12.29 ± 5.77,5
Redmere 2,WienerNet-SS (Gaussian),0.755 ± 0.040,1.71 ± 0.07,2.41 ± 0.37,0.714 ± 0.058,0.912 ± 0.034,0.935 ± 0.027,5.13 ± 1.24,0.141 ± 0.025,0.94 ± 0.19,-0.01 ± 0.02,19.2 ± 0.3,21.17 ± 10.57,5
Redmere 2,WienerNet-SS (beta-NLL),0.745 ± 0.024,1.77 ± 0.09,2.28 ± 0.23,0.688 ± 0.072,0.890 ± 0.047,0.918 ± 0.040,4.64 ± 1.03,0.140 ± 0.029,1.08 ± 0.28,-0.01 ± 0.01,19.4 ± 0.3,20.00 ± 9.12,5
Redmere 2,WienerNet-SS (Student-t),0.711 ± 0.013,1.52 ± 0.04,2.19 ± 0.13,0.622 ± 0.054,0.869 ± 0.032,0.908 ± 0.024,3.97 ± 0.55,0.109 ± 0.021,1.40 ± 0.31,-0.01 ± 0.02,19.4 ± 0.1,12.30 ± 5.45,5
Redmere 2,WienerNet-SS (mixture),0.700 ± 0.014,1.73 ± 0.09,2.40 ± 0.22,0.544 ± 0.064,0.884 ± 0.030,0.939 ± 0.011,4.44 ± 0.72,0.079 ± 0.021,0.88 ± 0.11,-0.00 ± 0.01,19.4 ± 0.1,22.59 ± 7.50,5
Redmere 2,WienerNet-SS (+residual),0.719 ± 0.006,3.10 ± 1.94,2.07 ± 0.18,0.554 ± 0.077,0.844 ± 0.073,0.886 ± 0.063,3.76 ± 0.96,0.083 ± 0.007,2.09 ± 0.87,-0.02 ± 0.02,19.0 ± 0.3,15.31 ± 8.17,5
