Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Rosedene,"WienerNet-SS (ALD, primary)",1.57 ± 0.02,1.72 ± 0.07,2.14 ± 0.19,0.729 ± 0.008,0.855 ± 0.048,1.135 ± 0.082,0.212 ± 0.019,0.967 ± 0.015,10.01 ± 1.64,5
Rosedene,WienerNet-SS (Gaussian),1.61 ± 0.05,1.99 ± 0.27,2.84 ± 0.50,0.864 ± 0.048,1.274 ± 0.126,1.853 ± 0.264,0.252 ± 0.031,0.982 ± 0.017,18.05 ± 1.51,5
Rosedene,WienerNet-SS (beta-NLL),1.63 ± 0.09,1.95 ± 0.24,2.66 ± 0.73,0.769 ± 0.037,1.033 ± 0.110,1.484 ± 0.297,0.213 ± 0.070,0.974 ± 0.015,12.22 ± 2.03,5
Rosedene,WienerNet-SS (Student-t),1.57 ± 0.02,1.70 ± 0.08,2.18 ± 0.21,0.752 ± 0.026,0.946 ± 0.073,1.288 ± 0.106,0.232 ± 0.035,0.991 ± 0.004,12.66 ± 1.45,5
Rosedene,WienerNet-SS (mixture),1.58 ± 0.01,1.69 ± 0.05,2.10 ± 0.21,0.756 ± 0.037,0.983 ± 0.111,1.372 ± 0.190,0.252 ± 0.022,0.990 ± 0.012,15.44 ± 3.25,5
Rosedene,WienerNet-SS (+residual),1.60 ± 0.07,1.80 ± 0.25,2.36 ± 0.79,0.744 ± 0.034,0.910 ± 0.103,1.240 ± 0.203,0.221 ± 0.041,0.974 ± 0.015,11.65 ± 2.42,5
Rosedene,WienerNet-SS (predicted-k),2.12 ± 0.50,2.16 ± 0.46,2.10 ± 0.43,0.880 ± 0.159,0.988 ± 0.187,1.184 ± 0.173,0.258 ± 0.049,0.978 ± 0.009,11.51 ± 2.37,5
Rosedene,WienerNet-SS (state-space),2.15 ± 0.53,2.19 ± 0.54,2.17 ± 0.60,0.895 ± 0.164,1.005 ± 0.211,1.187 ± 0.230,0.230 ± 0.065,0.974 ± 0.024,10.92 ± 2.30,5
Rosedene,"WienerNet-SS (state-space, +residual)",2.17 ± 0.56,2.36 ± 0.76,2.76 ± 1.29,0.939 ± 0.220,1.179 ± 0.392,1.572 ± 0.674,0.276 ± 0.061,0.978 ± 0.017,14.34 ± 4.12,5
Rosedene,"WienerNet-SS (state-space, predicted-k)",2.12 ± 0.50,2.15 ± 0.46,2.11 ± 0.43,0.912 ± 0.110,1.112 ± 0.198,1.431 ± 0.553,0.310 ± 0.091,0.990 ± 0.008,13.23 ± 4.99,5
Rosedene,WienerNet-SS (ALD + sigma_struct band),1.57 ± 0.02,1.72 ± 0.07,2.14 ± 0.19,0.818 ± 0.013,0.938 ± 0.046,1.190 ± 0.073,0.243 ± 0.007,0.975 ± 0.015,11.23 ± 1.45,5
Rosedene,"WienerNet-SS (given-diurnal, Wiener)",1.55 ± 0.00,1.58 ± 0.00,1.85 ± 0.00,0.729 ± 0.033,0.836 ± 0.086,1.101 ± 0.133,0.238 ± 0.021,0.974 ± 0.012,10.22 ± 2.26,5
Rosedene,"WienerNet-SS (given-diurnal, state-sp)",1.55 ± 0.00,1.58 ± 0.00,1.85 ± 0.00,0.744 ± 0.013,0.886 ± 0.053,1.193 ± 0.094,0.273 ± 0.024,0.975 ± 0.018,11.88 ± 1.88,5
Rosedene,Neural SDE (Gaussian),1.72 ± 0.10,2.33 ± 0.25,3.39 ± 0.46,0.859 ± 0.065,1.291 ± 0.120,1.915 ± 0.143,0.248 ± 0.040,0.967 ± 0.024,16.33 ± 2.60,5
Rosedene,Neural SDE (Student-t),1.60 ± 0.04,1.81 ± 0.10,2.31 ± 0.27,0.773 ± 0.032,1.028 ± 0.092,1.426 ± 0.116,0.241 ± 0.030,0.977 ± 0.019,13.65 ± 2.65,5
Rosedene,Neural SDE (ALD),1.71 ± 0.12,2.17 ± 0.31,3.17 ± 0.89,0.806 ± 0.107,1.117 ± 0.233,1.685 ± 0.470,0.204 ± 0.085,0.914 ± 0.058,11.91 ± 1.95,5
Rosedene,Mean-variance (Gaussian),1.56 ± 0.01,1.66 ± 0.06,2.11 ± 0.22,0.862 ± 0.043,1.212 ± 0.075,1.659 ± 0.131,0.293 ± 0.028,0.999 ± 0.001,18.82 ± 1.76,5
