site,seed,model,rmse_h0-2,rmse_h2-5,rmse_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+
woodwalton,1,WN-SS (ALD),1.1763235182302405,2.0970211780634527,4.102971372430313,0.54375,0.45489815712900095,0.2683127572016461,0.9475,0.8690591658583899,0.6296296296296297,0.6264175437332439,1.194891685267466,2.608028166445306,0.6715487327756853,1.0851114716169559,2.297467088790773,0.29750000000000004,0.39332686711930165,0.6433744855967078,0.25875000000000004,0.2483220174587779,0.41695473251028803,0.295,0.2463627546071775,0.12757201646090535,0.79,0.5897187196896218,0.33415637860082303,0.58875,0.498545101842871,0.2938271604938272,0.955,0.8933074684772065,0.6962962962962963,1.1267819016850553,1.8674069842619947,2.075135325960846,5.340464292317629,5.659875371812271,5.76484701880089
woodwalton,1,WN-SS (Gaussian),3.1090193516266216,7.134952982120233,11.996518422170647,0.885,0.8195926285160039,0.7415637860082305,,,,1.5286887214243199,3.5597785500605337,6.225288801532693,,,,0.08750000000000002,0.10383123181377307,0.15222222222222226,,,,0.63375,0.5033947623666344,0.43209876543209874,,,,0.90875,0.8516003879728419,0.7917695473251029,,,,9.077398554320446,15.709795841466272,19.863621144624645,,,
woodwalton,1,WN-SS (beta-NLL),1.8200897618590044,4.045925578282343,7.012708341644635,0.535,0.4296799224054316,0.43292181069958846,,,,1.0097263660143652,2.309518737942958,4.019785225175689,,,,0.35375,0.441086323957323,0.44370370370370366,,,,0.31,0.20950533462657614,0.22551440329218106,,,,0.58375,0.49078564500484967,0.4732510288065844,,,,2.1248987060673534,3.5653890098476726,4.11590187671989,,,
woodwalton,1,WN-SS (Student-t),1.1718224790362972,2.105059649875542,3.5292069376311663,0.315,0.22502424830261883,0.18271604938271604,,,,0.6516620011355709,1.2717500934306227,2.266283883158012,,,,0.45000000000000007,0.532929194956353,0.6753497942386831,,,,0.1625,0.1008729388942774,0.07901234567901234,,,,0.37875,0.28612997090203685,0.22469135802469137,,,,0.4012326727109029,0.6811133001682597,0.8589465006831802,,,
woodwalton,1,WN-SS (mixture),1.0779653223617056,1.790789334036995,2.1691056175344148,0.7575,0.7701260911736179,0.7901234567901234,,,,0.5821275046537677,0.9821058096948811,1.1911065750938825,,,,0.10250000000000001,0.13072744907856448,0.20703703703703702,,,,0.47375,0.518913676042677,0.5868312757201646,,,,0.80875,0.8205625606207565,0.8337448559670781,,,,3.446101972008124,6.041483839729188,7.549301341267402,,,
woodwalton,1,WN-SS (+residual),1.1722499985743837,2.0512177422419713,3.8978052290967917,0.725,0.6479146459747818,0.49876543209876545,,,,0.5975255538574878,1.1687468604235964,2.469618298784089,,,,0.21500000000000002,0.26611057225994184,0.40382716049382716,,,,0.44625,0.3559650824442289,0.22633744855967078,,,,0.7725,0.7070805043646945,0.5497942386831276,,,,2.2312882875036446,3.7339781033916704,4.72916780043286,,,
woodwalton,1,"WN-SS (given-diurnal, st-sp)",1.0683689129650298,1.6423455968886587,1.9728182551421343,0.67625,0.6605237633365665,0.6386831275720165,0.95375,0.9291949563530553,0.9102880658436214,0.5124248983946015,0.8256947289529153,1.026331893828783,0.6207773262219018,0.847968510174791,1.0024041589640362,0.12124999999999998,0.1358583899127061,0.17115226337448558,0.20375,0.13811833171677984,0.11691358024691356,0.42875,0.3802133850630456,0.36460905349794237,0.82375,0.6896217264791464,0.6139917695473252,0.72375,0.7119301648884578,0.6954732510288066,0.965,0.9466537342386033,0.934156378600823,1.3039442505193872,2.277506817686511,2.915631492998558,5.360855151697994,5.764678893146528,6.116191362768043
woodwalton,1,"WN-SS (given-diurnal, Wiener)",1.0683689129650298,1.6423455968886587,1.9728182551421343,0.565,0.49369544131910764,0.4831275720164609,,,,0.5350303558835066,0.8877798384318393,1.1060016020864711,,,,0.17874999999999996,0.2118137730358875,0.2620576131687243,,,,0.3475,0.30746847720659554,0.23950617283950618,,,,0.6175,0.5383123181377304,0.5390946502057613,,,,1.001075165569782,1.682902060157893,2.067337011788117,,,
woodwalton,1,Neural SDE (Gaussian),1.287524482145751,2.3661637186788003,3.6265495685631293,0.93375,0.8758486905916586,0.7604938271604939,,,,0.7109665867243922,1.4181084459083455,2.250999821673809,,,,0.31875,0.38929194956353064,0.47456790123456793,,,,0.65625,0.48205625606207564,0.34238683127572017,,,,0.9575,0.918525703200776,0.8477366255144033,,,,5.483103345195296,9.342361878578764,11.81577791438687,,,
woodwalton,1,Neural SDE (Student-t),1.0611804270693557,1.641839112164601,1.9704783006274276,0.67625,0.6605237633365665,0.6839506172839506,,,,0.5079633300416811,0.8299747742918641,1.0085129214884871,,,,0.15375,0.17375363724539283,0.20666666666666667,,,,0.48125,0.4219204655674103,0.4353909465020576,,,,0.74875,0.7255092143549952,0.7390946502057614,,,,1.348664922977332,2.4262869649253256,3.1676368955168637,,,
woodwalton,1,Neural SDE (ALD),1.076024491613424,1.7131026632012112,2.2885154588488796,0.5325,0.4859359844810863,0.4123456790123457,,,,0.5444818797482991,0.922192198026668,1.3198291715049875,,,,0.26375000000000004,0.3266343355965083,0.4869547325102881,,,,0.34,0.2880698351115422,0.21481481481481482,,,,0.58375,0.5140640155189137,0.45843621399176954,,,,1.0395671393275259,1.8022143856045056,2.070226486472436,,,
woodwalton,1,mean-var (Gaussian),1.1133844677634175,1.762194166237302,2.2641947723001272,0.93125,0.9243452958292919,0.9596707818930041,,,,0.5814952701629232,0.9679812407475767,1.3099982740054976,,,,0.19999999999999996,0.19855480116391855,0.27181069958847737,,,,0.74,0.7546071774975752,0.7555555555555555,,,,0.945,0.933074684772066,0.968724279835391,,,,4.055290048851864,6.91695723714511,10.644196579844188,,,
woodwalton,1,mean-var (Student-t),1.102281910025803,1.8333513904845549,2.3956825116894467,0.87875,0.8787584869059166,0.9152263374485596,,,,0.5293906303921295,0.9108347729558782,1.200066971239018,,,,0.20750000000000002,0.2214645974781766,0.2734156378600823,,,,0.64875,0.6294859359844811,0.6205761316872428,,,,0.9125,0.9224054316197866,0.9604938271604938,,,,3.154554630707949,5.507326787963842,7.477733738500885,,,
woodwalton,1,mean-var (ALD),1.06883460514492,1.7168451119922832,2.0537460888784422,0.81625,0.8351115421920465,0.8905349794238683,,,,0.5025185495848586,0.8171786960490797,0.9940818460683056,,,,0.11750000000000005,0.1240737148399611,0.1310288065843621,,,,0.5975,0.5819592628516004,0.5761316872427984,,,,0.86375,0.8758486905916586,0.9325102880658436,,,,2.1827007794091475,3.8090735235355364,5.366755187583573,,,
woodwalton,1,MDN (mixture),1.070895893250589,1.6879200601130304,2.1573829687989923,0.92125,0.9243452958292919,0.9473251028806584,,,,0.5875437411161571,0.9791717559869251,1.2672524755616126,,,,0.21375,0.22899127061105728,0.3114814814814816,,,,0.7175,0.7080504364694471,0.7135802469135802,,,,0.94125,0.9602327837051406,0.9703703703703703,,,,4.682950003241189,7.933813782810991,10.00150494069091,,,
woodwalton,1,Random Forest,1.6413493319120613,1.443741586819613,1.4951896493924999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woodwalton,1,XGBoost,2.5333855152130127,2.1920902729034424,2.106559991836548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
