scope,model,rmse_h0-2,rmse_h2-5,rmse_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+
clean4,WN-SS (mixture),1.888,2.766,3.74,0.951,1.494,2.206,,,,0.871,0.93,0.933,,,,0.566,0.716,0.789,,,,0.917,0.95,0.944,,,,6.778,11.587,15.62,,,,0.123,0.194,0.251,,,
clean4,WN-SS (+residual),1.717,2.411,3.384,0.865,1.287,1.93,,,,0.829,0.853,0.824,,,,0.541,0.614,0.601,,,,0.868,0.879,0.846,,,,5.522,9.154,12.058,,,,0.155,0.227,0.315,,,
clean4,"WN-SS (given-diurnal, st-sp)",1.534,1.692,1.798,0.831,1.105,1.36,0.908,1.162,1.399,0.87,0.926,0.94,0.961,0.978,0.981,0.629,0.744,0.805,0.808,0.843,0.866,0.901,0.942,0.952,0.976,0.986,0.986,6.186,10.371,13.679,8.32,11.884,14.863,0.147,0.221,0.274,0.211,0.241,0.282
clean4,"WN-SS (given-diurnal, Wiener)",1.534,1.692,1.798,0.804,1.05,1.277,,,,0.855,0.909,0.925,,,,0.592,0.713,0.764,,,,0.889,0.927,0.939,,,,5.62,9.339,12.074,,,,0.146,0.205,0.256,,,
clean4,Neural SDE (Gaussian),1.799,2.644,4.014,1.063,1.651,2.442,,,,0.887,0.904,0.884,,,,0.667,0.679,0.636,,,,0.91,0.924,0.911,,,,8.461,13.815,18.966,,,,0.204,0.26,0.321,,,
clean4,Neural SDE (Student-t),1.891,2.844,4.318,0.988,1.669,2.967,,,,0.838,0.898,0.891,,,,0.561,0.681,0.742,,,,0.882,0.922,0.911,,,,6.771,12.464,17.31,,,,0.148,0.225,0.3,,,
clean4,Neural SDE (ALD),1.675,2.223,2.992,0.863,1.212,1.614,,,,0.862,0.919,0.928,,,,0.614,0.719,0.762,,,,0.895,0.935,0.939,,,,6.141,10.369,13.582,,,,0.143,0.207,0.273,,,
clean4,mean-var (Gaussian),1.637,2.094,2.676,0.961,1.365,1.675,,,,0.887,0.931,0.947,,,,0.695,0.762,0.756,,,,0.907,0.946,0.957,,,,7.788,12.722,15.443,,,,0.172,0.226,0.243,,,
clean4,mean-var (Student-t),1.602,1.968,2.369,0.932,1.348,1.735,,,,0.876,0.949,0.98,,,,0.644,0.778,0.843,,,,0.911,0.966,0.99,,,,8.265,14.949,20.383,,,,0.14,0.218,0.279,,,
clean4,mean-var (ALD),1.589,1.957,2.268,0.866,1.2,1.478,,,,0.894,0.957,0.978,,,,0.654,0.765,0.807,,,,0.926,0.97,0.989,,,,6.811,11.424,14.717,,,,0.135,0.198,0.244,,,
clean4,Analytical (Gaussian),1.524,1.678,1.776,0.899,1.262,1.71,,,,0.955,0.992,0.998,,,,0.816,0.905,0.952,,,,0.963,0.995,0.999,,,,7.757,13.516,20.387,,,,0.201,0.256,0.302,,,
clean4,Analytical (Student-t),1.524,1.678,1.776,0.76,0.86,0.953,,,,0.755,0.868,0.932,,,,0.502,0.607,0.72,,,,0.804,0.893,0.946,,,,2.581,4.497,6.784,,,,0.127,0.104,0.161,,,
clean4,MDN (mixture),1.607,1.974,2.32,0.954,1.357,1.765,,,,0.9,0.968,0.984,,,,0.631,0.766,0.826,,,,0.936,0.984,0.993,,,,8.192,14.158,18.987,,,,0.139,0.198,0.235,,,
clean4,Random Forest,1.806,1.411,1.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean4,XGBoost,2.116,1.641,1.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
