site,gap_days,sigma_meas,sigma_struct,resid_std_reco,resid_std_soil,soil_used,rmse,old_near,old_far,fix_near,fix_far
woodwalton,3,0.29615381360054016,1.5635091368495322,1.5947327164601448,1.5913101213535068,True,1.3793372200064118,0.25170958192621545,0.2812310258245327,0.9202080800198673,0.9278998068613752
woodwalton,7,0.29615381360054016,1.5635091368495322,1.5947327164601448,1.5913101213535068,True,1.398004655065188,0.28241791975059155,0.25220453088720635,0.9197297184393087,0.9140871372506406
woodwalton,14,0.29615381360054016,1.5635091368495322,1.5947327164601448,1.5913101213535068,True,1.4239014192737989,0.25662103065717284,0.24287448683291354,0.8956251034826888,0.9089904147551932
rosedene,3,0.38142919540405273,1.435854332161959,1.489747752240142,1.4856533560339198,True,1.491035741596239,0.5618631065409698,0.9227634869021151,0.9054550459520974,0.975967645491767
rosedene,7,0.38142919540405273,1.435854332161959,1.489747752240142,1.4856533560339198,True,1.5344545607553088,0.5458486449554303,0.954646849464745,0.9000892386965261,0.9848627554327204
rosedene,14,0.38142919540405273,1.435854332161959,1.489747752240142,1.4856533560339198,True,1.5377788817714604,0.5318161738230479,0.9790470705509768,0.8827988168866848,0.9973797361492673
redmere_1,3,1.543683409690857,0.13469429407326244,1.551352446762058,1.5495486511273806,True,1.491779672267729,0.7348888538537398,0.9513413516395355,0.7390924663332143,0.9597447129840733
redmere_1,7,1.543683409690857,0.13469429407326244,1.551352446762058,1.5495486511273806,True,1.5902430573594568,0.7446692264194176,0.9666076347894529,0.7506999281738036,0.9666076347894529
redmere_1,14,1.543683409690857,0.13469429407326244,1.551352446762058,1.5495486511273806,True,1.61773125734257,0.7432349791214184,0.9878246753246753,0.7559333918198311,0.9878246753246753
redmere_2,3,0.4404876232147217,1.5043748332135993,1.5709249317202187,1.5675372356061592,True,1.2509082298780552,0.7975935377712978,0.9565822082492644,0.972455285261758,0.9964896214896215
redmere_2,7,0.4404876232147217,1.5043748332135993,1.5709249317202187,1.5675372356061592,True,1.2923157623914958,0.7630415548436842,0.9627489239558206,0.9687552490322008,0.984927234927235
redmere_2,14,0.4404876232147217,1.5043748332135993,1.5709249317202187,1.5675372356061592,True,1.3529397961637646,0.786623595521111,0.979500539681535,0.9776978973407545,1.0
great_fen,3,0.6614764928817749,1.3834401522527484,1.535272797035974,1.5334463816841724,True,1.7137072128344812,0.625765237178841,0.7975280469507758,0.8754059961999607,0.9251496689771964
great_fen,7,0.6614764928817749,1.3834401522527484,1.535272797035974,1.5334463816841724,True,1.7150742020956982,0.6546185246241926,0.8440107253751418,0.8742665475663701,0.9428593263461685
great_fen,14,0.6614764928817749,1.3834401522527484,1.535272797035974,1.5334463816841724,True,1.7102092071837267,0.5762966605534763,0.8753914837208909,0.8810896845471313,0.9522496357641286
