scope,model,rmse_h0-2,rmse_h2-5,rmse_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+
clean4,WN-SS (ALD),1.587,1.923,2.39,0.793,1.07,1.474,0.864,1.113,1.484,0.814,0.869,0.864,0.953,0.957,0.934,0.534,0.629,0.664,0.782,0.779,0.751,0.856,0.895,0.883,0.969,0.969,0.949,4.443,7.573,10.276,7.08,9.515,11.839,0.131,0.195,0.274,0.196,0.214,0.262
clean4,WN-SS (Gaussian),2.066,3.299,4.696,1.074,1.851,2.8,,,,0.931,0.936,0.913,,,,0.736,0.77,0.742,,,,0.949,0.951,0.929,,,,8.023,13.645,18.51,,,,0.178,0.225,0.262,,,
clean4,WN-SS (beta-NLL),1.717,2.353,3.661,0.887,1.357,2.131,,,,0.896,0.918,0.897,,,,0.667,0.708,0.675,,,,0.922,0.938,0.918,,,,6.026,10.198,13.623,,,,0.149,0.206,0.272,,,
clean4,WN-SS (Student-t),1.614,2.036,2.698,0.822,1.167,1.625,,,,0.887,0.926,0.917,,,,0.65,0.729,0.741,,,,0.919,0.944,0.931,,,,5.702,9.704,13.077,,,,0.132,0.195,0.251,,,
clean4,WN-SS (mixture),1.59,1.929,2.359,0.817,1.184,1.629,,,,0.924,0.97,0.97,,,,0.648,0.798,0.843,,,,0.957,0.98,0.983,,,,6.84,12.315,17.507,,,,0.12,0.196,0.246,,,
clean4,WN-SS (+residual),1.658,2.17,3.016,0.841,1.238,1.853,,,,0.82,0.856,0.856,,,,0.533,0.616,0.652,,,,0.863,0.885,0.879,,,,4.734,8.135,11.444,,,,0.139,0.203,0.248,,,
clean4,"WN-SS (given-diurnal, st-sp)",1.534,1.692,1.798,0.769,0.974,1.191,0.846,1.031,1.233,0.837,0.903,0.92,0.953,0.971,0.975,0.573,0.685,0.746,0.788,0.808,0.827,0.875,0.924,0.935,0.968,0.98,0.984,4.517,7.727,10.623,6.974,9.502,12.069,0.129,0.194,0.25,0.196,0.219,0.253
clean4,"WN-SS (given-diurnal, Wiener)",1.534,1.692,1.798,0.77,0.975,1.187,,,,0.816,0.881,0.908,,,,0.543,0.652,0.711,,,,0.858,0.907,0.928,,,,4.336,7.434,10.195,,,,0.119,0.18,0.23,,,
clean4,Neural SDE (Gaussian),1.902,3.02,4.698,1.025,1.759,2.811,,,,0.923,0.93,0.888,,,,0.688,0.684,0.639,,,,0.947,0.949,0.917,,,,7.505,12.666,16.722,,,,0.177,0.218,0.27,,,
clean4,Neural SDE (Student-t),1.655,2.158,2.817,0.839,1.223,1.665,,,,0.897,0.935,0.936,,,,0.65,0.705,0.701,,,,0.929,0.957,0.956,,,,5.673,9.692,12.991,,,,0.131,0.186,0.239,,,
