model,site,seed,is_point,crps,cov90,cov95,pit_ks,rmse
"WienerNet-SS (learned-diurnal, Wiener)",woodwalton,0,False,0.4912556620006354,0.8230016313213703,0.8601141924959217,0.09567700992458972,1.5232720375061035
"WienerNet-SS (learned-diurnal, Wiener)",woodwalton,1,False,0.5265445427171237,0.5106618503845257,0.55936844558378,0.28848906155487597,1.283021092414856
"WienerNet-SS (learned-diurnal, Wiener)",woodwalton,42,False,0.9551523802941282,0.7772081099976695,0.8239338149615474,0.17845344709716715,2.837951898574829
"WienerNet-SS (learned-diurnal, Wiener)",rosedene,0,False,0.7406078022510003,0.6893838229683327,0.7659290347195726,0.11253740639340909,1.9094804525375366
"WienerNet-SS (learned-diurnal, Wiener)",rosedene,1,False,0.7278471674243809,0.7735120183136207,0.8313143838229683,0.06501477433675185,1.9990228414535522
"WienerNet-SS (learned-diurnal, Wiener)",rosedene,42,False,0.739556639637523,0.7497138496756963,0.80670545593285,0.07522047190967907,1.9939404726028442
"WienerNet-SS (learned-diurnal, Wiener)",redmere_1,0,False,0.7552812115940547,0.8188736681887366,0.8536276002029427,0.04412691362113367,2.7181789875030518
"WienerNet-SS (learned-diurnal, Wiener)",redmere_1,1,False,0.7922744186510831,0.8937087772704211,0.9317605276509386,0.05867056566957257,3.1238436698913574
"WienerNet-SS (learned-diurnal, Wiener)",redmere_1,42,False,1.012134496643065,0.8554033485540334,0.906392694063927,0.080352182818057,3.804945230484009
"WienerNet-SS (learned-diurnal, Wiener)",redmere_2,0,False,0.7026009334359554,0.8113362541073385,0.8680175246440307,0.06181589802674359,2.288231611251831
"WienerNet-SS (learned-diurnal, Wiener)",redmere_2,1,False,0.7237537013528886,0.8929353778751369,0.9342825848849945,0.08810059281811145,2.4105544090270996
"WienerNet-SS (learned-diurnal, Wiener)",redmere_2,42,False,0.7951817143879573,0.8855421686746988,0.9257940854326396,0.10254385361943674,2.7045798301696777
"WienerNet-SS (learned-diurnal, Wiener)",great_fen,0,False,0.9241219380720584,0.8933714001986097,0.9293694141012909,0.04542292023548067,3.088876485824585
"WienerNet-SS (learned-diurnal, Wiener)",great_fen,1,False,0.9390635089263304,0.7888530287984111,0.8447120158887785,0.06726318448221091,2.7702112197875977
"WienerNet-SS (learned-diurnal, Wiener)",great_fen,42,False,0.9259534645026448,0.9122393247269116,0.9443892750744787,0.07801535349987695,3.059670925140381
"WienerNet-SS (learned-diurnal, state-sp)",woodwalton,0,False,0.6291092062059749,0.3916336518294104,0.45764390584945236,0.472286605222563,1.3899563550949097
"WienerNet-SS (learned-diurnal, state-sp)",woodwalton,1,False,0.5315458236947661,0.29101608016779307,0.3371009088790492,0.38827321544704907,1.2444205284118652
"WienerNet-SS (learned-diurnal, state-sp)",woodwalton,42,False,0.5628449977682186,0.9051503146119786,0.9303775343742717,0.14679803475446673,1.8582700490951538
"WienerNet-SS (learned-diurnal, state-sp)",rosedene,0,False,0.7425761557008846,0.688763830599008,0.7609214040442579,0.11506219304466614,1.9025802612304688
"WienerNet-SS (learned-diurnal, state-sp)",rosedene,1,False,0.7285173020136457,0.8336512781381152,0.8770507439908432,0.031972678080948724,2.049872875213623
"WienerNet-SS (learned-diurnal, state-sp)",rosedene,42,False,0.7300356278423556,0.8001716901945822,0.8519648988935521,0.04758903295905814,1.9848862886428833
"WienerNet-SS (learned-diurnal, state-sp)",redmere_1,0,False,7.1068599191871575,0.8731608320649417,0.910958904109589,0.023752174447045193,1005.1170043945312
"WienerNet-SS (learned-diurnal, state-sp)",redmere_1,1,False,16.35117546728971,0.9104515474378488,0.9408929477422628,0.050024054050747,2358.915283203125
"WienerNet-SS (learned-diurnal, state-sp)",redmere_1,42,False,0.7652851099002483,0.882546930492136,0.9236428209030949,0.03751169383763667,2.965836763381958
"WienerNet-SS (learned-diurnal, state-sp)",redmere_2,0,False,0.7067535780114823,0.8759583789704272,0.9208652792990142,0.08804625627560492,2.356072425842285
"WienerNet-SS (learned-diurnal, state-sp)",redmere_2,1,False,0.9847717055450799,0.9157995618838992,0.9463307776560789,0.12485675822396436,4.04034423828125
"WienerNet-SS (learned-diurnal, state-sp)",redmere_2,42,False,0.7068570662883128,0.8499452354874042,0.8982749178532311,0.07305840839103966,2.269047737121582
"WienerNet-SS (learned-diurnal, state-sp)",great_fen,0,False,1.0330738167625648,0.9198113207547169,0.948733862959285,0.08264888915272339,4.719128131866455
"WienerNet-SS (learned-diurnal, state-sp)",great_fen,1,False,0.9212943260493605,0.8259682224428997,0.874875868917577,0.03676580044962641,2.8844783306121826
"WienerNet-SS (learned-diurnal, state-sp)",great_fen,42,False,0.8991038394247372,0.8134309831181727,0.8659384309831182,0.04948750651216649,2.5565271377563477
"WienerNet-SS (learned-diurnal, Wiener, +resid)",woodwalton,0,False,0.511140304358563,0.5559310184106269,0.617862969004894,0.24799485669747645,1.2760484218597412
"WienerNet-SS (learned-diurnal, Wiener, +resid)",woodwalton,1,False,0.5011685126995666,0.6875436961081333,0.7431834071312049,0.1938962097846335,1.3185663223266602
"WienerNet-SS (learned-diurnal, Wiener, +resid)",woodwalton,42,False,0.49346301113485025,0.6117455138662317,0.6580633884875321,0.15183919262155385,1.257957935333252
"WienerNet-SS (learned-diurnal, Wiener, +resid)",rosedene,0,False,0.7393279357222379,0.7180465471194201,0.7880579931323922,0.1021450602339794,1.9656853675842285
"WienerNet-SS (learned-diurnal, Wiener, +resid)",rosedene,1,False,0.723334591078174,0.8486264784433423,0.8939336131247615,0.08076865072223299,2.1873579025268555
"WienerNet-SS (learned-diurnal, Wiener, +resid)",rosedene,42,False,0.7582807807415809,0.6452212895841282,0.7186188477680274,0.13435367302505344,1.8998161554336548
"WienerNet-SS (learned-diurnal, Wiener, +resid)",redmere_1,0,False,5.985360621686622,0.8964992389649924,0.9294774226281075,0.04386976088394129,247.36285400390625
"WienerNet-SS (learned-diurnal, Wiener, +resid)",redmere_1,1,False,0.780905891724818,0.9190766108574328,0.9492643328259767,0.07056161160415425,3.193180561065674
"WienerNet-SS (learned-diurnal, Wiener, +resid)",redmere_1,42,False,0.867353084296121,0.8926940639269406,0.9337899543378996,0.05774081649559337,3.435228109359741
"WienerNet-SS (learned-diurnal, Wiener, +resid)",redmere_2,0,False,0.7102893991142598,0.8296823658269441,0.8822562979189486,0.0603101874038543,2.0747592449188232
"WienerNet-SS (learned-diurnal, Wiener, +resid)",redmere_2,1,False,0.7428035722785904,0.8566538882803943,0.9023822562979189,0.06523755378767476,2.3924686908721924
"WienerNet-SS (learned-diurnal, Wiener, +resid)",redmere_2,42,False,0.7495666918078516,0.859118291347207,0.9032037239868566,0.07712862490524613,2.422269582748413
"WienerNet-SS (learned-diurnal, Wiener, +resid)",great_fen,0,False,1.0647314816522546,0.9371896722939425,0.9631330685203575,0.12015758150602857,3.5255560874938965
"WienerNet-SS (learned-diurnal, Wiener, +resid)",great_fen,1,False,0.9428564639074432,0.8371400198609732,0.8918818272095332,0.08466122315023394,2.800023078918457
"WienerNet-SS (learned-diurnal, Wiener, +resid)",great_fen,42,False,0.9123611655752274,0.7753227408142999,0.8377606752730884,0.08933309005011814,2.4923148155212402
"WienerNet-SS (learned-diurnal, state-sp, +resid)",woodwalton,0,False,0.5584751142187734,0.6448380330925192,0.6968072710323934,0.21063577336423217,1.4238343238830566
"WienerNet-SS (learned-diurnal, state-sp, +resid)",woodwalton,1,False,0.4803593654190375,0.8431018410626894,0.8758447914239105,0.1424760482245182,1.4135890007019043
"WienerNet-SS (learned-diurnal, state-sp, +resid)",woodwalton,42,False,0.5335014815114782,0.6366814262409695,0.6986716383127476,0.27095196774203906,1.3486045598983765
"WienerNet-SS (learned-diurnal, state-sp, +resid)",rosedene,0,False,0.7265918685900371,0.8030808851583365,0.8559233117130866,0.047131526026606085,1.9781075716018677
"WienerNet-SS (learned-diurnal, state-sp, +resid)",rosedene,1,False,0.7293506489518136,0.8787199542159481,0.915871804654712,0.02858694924031857,2.165151357650757
"WienerNet-SS (learned-diurnal, state-sp, +resid)",rosedene,42,False,0.7474213558583811,0.6848054177794735,0.7574399084318962,0.11515984775617583,1.9074716567993164
"WienerNet-SS (learned-diurnal, state-sp, +resid)",redmere_1,0,False,3.6823143160366008,0.9277016742770168,0.9563673262303399,0.0721491468011442,219.16647338867188
"WienerNet-SS (learned-diurnal, state-sp, +resid)",redmere_1,1,False,2.2506661047490977,0.9010654490106544,0.9398782343987824,0.0331152190691123,92.79718017578125
"WienerNet-SS (learned-diurnal, state-sp, +resid)",redmere_1,42,False,0.8121405874092293,0.9345509893455098,0.9616945712836124,0.08486788528474479,3.341740846633911
"WienerNet-SS (learned-diurnal, state-sp, +resid)",redmere_2,0,False,0.7102058510163998,0.8444687842278203,0.8966319824753559,0.0774312091056224,2.3220605850219727
"WienerNet-SS (learned-diurnal, state-sp, +resid)",redmere_2,1,False,0.7503853862699631,0.9075848849945235,0.9426341730558598,0.11984348700566283,2.7654805183410645
"WienerNet-SS (learned-diurnal, state-sp, +resid)",redmere_2,42,False,0.7533661381660592,0.9312705366922235,0.962486308871851,0.1134012511943448,3.172684907913208
"WienerNet-SS (learned-diurnal, state-sp, +resid)",great_fen,0,False,0.9687463588434826,0.9389275074478649,0.9620158887785502,0.08294665148538305,3.6425814628601074
"WienerNet-SS (learned-diurnal, state-sp, +resid)",great_fen,1,False,0.9538408932395799,0.8871648460774578,0.9211767626613704,0.08222007065164033,3.178499460220337
"WienerNet-SS (learned-diurnal, state-sp, +resid)",great_fen,42,False,0.9190527993019459,0.7910873882820258,0.8592353525322741,0.09167205702660464,2.498147487640381
"WienerNet-SS (diurnal, state-space)",woodwalton,0,False,0.4939046259645771,0.7423677464460499,0.7787229084129573,0.09590854265099963,1.5231225490570068
"WienerNet-SS (diurnal, state-space)",woodwalton,1,False,0.4860003244264059,0.6642973665812165,0.7011768818457236,0.13433328959790508,1.2772070169448853
"WienerNet-SS (diurnal, state-space)",woodwalton,42,False,0.62311999129787,0.9575856443719413,0.9718597063621534,0.22035564707539101,2.6890079975128174
"WienerNet-SS (diurnal, state-space)",rosedene,0,False,0.7271771333504576,0.8196299122472339,0.8704692865318581,0.03717223146786841,2.019421339035034
"WienerNet-SS (diurnal, state-space)",rosedene,1,False,0.7360239919884884,0.7553414727203358,0.8157191911484166,0.07907944685037605,1.9548940658569336
"WienerNet-SS (diurnal, state-space)",rosedene,42,False,0.7259852568814076,0.7779473483403281,0.8350820297596337,0.06252717117227036,2.033045768737793
"WienerNet-SS (diurnal, state-space)",redmere_1,0,False,0.9255998334030827,0.928462709284627,0.9540842212075089,0.06574623613866665,156.1964569091797
"WienerNet-SS (diurnal, state-space)",redmere_1,1,False,0.683422804928927,0.9147640791476408,0.9454591577879249,0.06253440550965414,3.2702796459198
"WienerNet-SS (diurnal, state-space)",redmere_1,42,False,2.1576562179336443,0.8990360223236935,0.9330289193302892,0.05955216540207897,323.28887939453125
"WienerNet-SS (diurnal, state-space)",redmere_2,0,False,0.7109721488874846,0.8151697699890471,0.8693866374589266,0.07671560242251374,2.1177430152893066
"WienerNet-SS (diurnal, state-space)",redmere_2,1,False,0.7562016938073938,0.9140197152245345,0.948658269441402,0.12139322034080491,2.7699482440948486
"WienerNet-SS (diurnal, state-space)",redmere_2,42,False,0.7144129822804283,0.8849945235487404,0.9240142387732749,0.10036483895871812,2.206514358520508
"WienerNet-SS (diurnal, state-space)",great_fen,0,False,0.919649150110886,0.7931976166832175,0.8407398212512414,0.05911990768291009,2.593510150909424
"WienerNet-SS (diurnal, state-space)",great_fen,1,False,0.895036572193102,0.8434707050645481,0.8948609731876862,0.028154398742019415,2.878507137298584
"WienerNet-SS (diurnal, state-space)",great_fen,42,False,0.899650993942368,0.8104518371400199,0.858738828202582,0.04737843935991071,2.5729589462280273
"WienerNet-SS (diurnal, Wiener)",woodwalton,0,False,0.4800418805207901,0.7528548123980424,0.791773479375437,0.08829027854389732,1.4046223163604736
"WienerNet-SS (diurnal, Wiener)",woodwalton,1,False,0.5011917986663615,0.5388604054998835,0.5787695175949662,0.1898338196642233,1.2698020935058594
"WienerNet-SS (diurnal, Wiener)",woodwalton,42,False,0.4803547287820179,0.8181076672104405,0.8502680027965509,0.11143286888238824,1.5004948377609253
"WienerNet-SS (diurnal, Wiener)",rosedene,0,False,0.7408267737074377,0.7087466615795498,0.7728920259442961,0.1097542432226658,1.9138507843017578
"WienerNet-SS (diurnal, Wiener)",rosedene,1,False,0.7227675792330746,0.800982449446776,0.8575925219381916,0.051059705760259755,2.054222583770752
"WienerNet-SS (diurnal, Wiener)",rosedene,42,False,0.7412712846168077,0.6853777184280809,0.7590614269362839,0.12169659849456993,1.9087986946105957
