model,site,seed,crps,nll,cov50,cov90,cov95,sharp50,sharp90,sharp95,pit_mean,pit_var,pit_ks,rmse_floor,mean_z,std_z,acf1,drift_r2,noise_skew,noise_exkurt,noise_tail3sd,energy_distance,vvs_ratio_maxwin,rmse
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",redmere_2,1,0.7237537013528886,1.9038968426934615,0.6145947426067908,0.8929353778751369,0.9342825848849945,1.5094295799490451,4.884715714759571,6.222191818599123,0.5008774888733044,0.06646865331534141,0.08810059281811145,1.4304458489007619,-0.051514002919000275,1.4491912839295276,"{'lag': 2, 'hours': 1.0, 'acf': 0.00020282141414261238, 'n': 5057}",-0.08836248782643685,-0.6902889736854422,18.78281207751405,0.023822562979189485,0.02142934493360893,17.554699036673938,2.4105544090270996
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",redmere_2,42,0.7951817143879573,2.0275076081633205,0.588855421686747,0.8855421686746988,0.9257940854326396,1.5187050169185905,4.920391832906365,6.2650638790329864,0.48300988886029106,0.0698459241475153,0.10254385361943674,1.4304458489007619,-0.15394333184662878,1.5271300196427902,"{'lag': 2, 'hours': 1.0, 'acf': 0.06237531828370935, 'n': 5057}",-1.565057551502643,-2.558463215383923,28.546521652425504,0.02163198247535597,0.032915516428749125,14.63278420234844,2.7045798301696777
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",great_fen,0,0.9241219380720584,2.6980963992811238,0.5522591857000994,0.8933714001986097,0.9293694141012909,2.0212071486781125,6.517670682234672,8.30823020470784,0.5134777872206407,0.07481959986642392,0.04542292023548067,1.6619211733304229,0.011640290312797024,1.7940177119402387,"{'lag': 2, 'hours': 1.0, 'acf': -0.015366556676329414, 'n': 5967}",-0.15941984612940008,-0.716705161760689,14.639286152250417,0.021847070506454815,0.0028416312030057345,29.044346168049966,3.088876485824585
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",great_fen,1,0.9390635089263304,4.19953582906562,0.4096325719960278,0.7888530287984111,0.8447120158887785,1.4701950759298603,4.74625499881138,6.042365738446428,0.5235115115464,0.10295965548365622,0.06726318448221091,1.6619211733304229,0.039140636248194575,2.650864660231986,"{'lag': 2, 'hours': 1.0, 'acf': -0.005359261331370011, 'n': 5967}",-0.056736500753427954,0.11593753480808153,11.656697435815563,0.023833167825223437,0.026411873509861294,11.091060424066228,2.7702112197875977
"PRIMARY (ldiur, GTk, Wiener, no-res, ALD)",great_fen,42,0.9259534645026448,2.2946843459272213,0.5935948361469712,0.9122393247269116,0.9443892750744787,2.0975252273695983,6.775135068321283,8.630143769079204,0.5204451051043657,0.06724725502522574,0.07801535349987695,1.6619211733304229,0.043317155158517764,1.4749966028731487,"{'lag': 2, 'hours': 1.0, 'acf': 0.018572076294257413, 'n': 5967}",-0.0759782559214881,-0.005805472955894916,12.40041648513691,0.024950347567030785,0.01341161425537063,37.23974824712394,3.059670925140381
  noise: state-space,woodwalton,0,0.6291092062059749,104.34570722418873,0.13924493125145654,0.3916336518294104,0.45764390584945236,0.19169312774055478,0.6189759507802651,0.7894605538883445,0.23935851441920014,0.11315115763254201,0.472286605222563,1.5677589430343275,-4.147068177351194,13.93560118432524,"{'lag': 2, 'hours': 1.0, 'acf': 0.07711269941474849, 'n': 13127}",-0.3368735618764458,-0.9634644679472204,41.020797753804224,0.021731531111628993,0.23756153631820087,8.650219261255241,1.3899563550949097
  noise: state-space,woodwalton,1,0.5315458236947661,1139.8819769016193,0.11832906082498253,0.29101608016779307,0.3371009088790492,0.0830406127959851,0.26797537544404293,0.34171513865539166,0.6269263382868627,0.179592577106818,0.38827321544704907,1.5677589430343275,0.5465536087353483,47.79517971007948,"{'lag': 2, 'hours': 1.0, 'acf': -0.021723830252030545, 'n': 13127}",-0.00505264503677294,-0.7139348437321171,50.423320529644705,0.021207177814029365,0.1277000493781566,1.3861383489950156,1.2444205284118652
  noise: state-space,woodwalton,42,0.5628449977682186,2.1389528785648935,0.694010720111862,0.9051503146119786,0.9303775343742717,1.1341374870574186,3.6630234483386377,4.670692157878577,0.47472187802812427,0.05486952115695038,0.14679803475446673,1.5677589430343275,-0.16016968534656642,1.7288986411028051,"{'lag': 2, 'hours': 1.0, 'acf': 0.030076620775925125, 'n': 13127}",-0.22740441197917272,-1.020222713396384,37.43005156436635,0.022488930319272897,0.04186911966784446,20.364635253288355,1.8582700490951538
  noise: state-space,rosedene,0,0.7425761557008846,10.007744885895743,0.3010778328882106,0.688763830599008,0.7609214040442579,0.5727801055159564,1.8502811083710833,2.3606988096841106,0.5032104270605264,0.1279613361199446,0.11506219304466614,1.6879225953531205,0.01358899539394842,4.503142290518019,"{'lag': 2, 'hours': 1.0, 'acf': 0.004155387881239638, 'n': 15188}",0.01013253260628888,-0.6672756703688013,41.69256089897154,0.020507439908431895,0.08424258571930698,2.28545440872821,1.9025802612304688
  noise: state-space,rosedene,1,0.7285173020136457,4.938712419618738,0.4736264784433422,0.8336512781381152,0.8770507439908432,0.9140603728968159,2.952387109897335,3.76594668640977,0.5108146594410327,0.09051464832776891,0.031972678080948724,1.6879225953531205,0.031280535778801945,3.00612549902938,"{'lag': 2, 'hours': 1.0, 'acf': -0.0622052114662812, 'n': 15188}",0.0004903521091804697,-0.6478971692588299,41.98637522549195,0.020364364746280044,0.0289080847030615,5.5076695013267685,2.049872875213623
