Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Rosedene,WienerNet-SS (Gaussian),0.753 ± 0.013,1.80 ± 0.07,2.43 ± 0.21,0.697 ± 0.035,0.912 ± 0.019,0.933 ± 0.016,4.59 ± 0.75,0.124 ± 0.018,1.16 ± 0.12,-0.01 ± 0.01,41.7 ± 0.1,15.39 ± 1.02,3
Rosedene,WienerNet-SS (beta-NLL),0.725 ± 0.008,2.10 ± 0.24,2.18 ± 0.16,0.574 ± 0.072,0.848 ± 0.041,0.880 ± 0.033,3.35 ± 0.75,0.062 ± 0.024,1.62 ± 0.29,0.00 ± 0.00,41.9 ± 0.2,9.47 ± 5.51,3
Rosedene,WienerNet-SS (Student-t),0.739 ± 0.007,1.63 ± 0.03,2.28 ± 0.23,0.347 ± 0.053,0.727 ± 0.031,0.808 ± 0.019,2.35 ± 0.38,0.094 ± 0.027,7.06 ± 1.00,-0.01 ± 0.02,41.9 ± 0.2,9.33 ± 4.68,3
Rosedene,WienerNet-SS (mixture),0.729 ± 0.002,2.28 ± 0.20,2.02 ± 0.06,0.360 ± 0.019,0.770 ± 0.043,0.848 ± 0.032,2.46 ± 0.43,0.081 ± 0.008,1.83 ± 0.15,-0.00 ± 0.01,42.0 ± 0.1,3.99 ± 0.56,3
Rosedene,WienerNet-SS (+residual),0.740 ± 0.017,8.58 ± 6.83,2.02 ± 0.15,0.351 ± 0.095,0.737 ± 0.103,0.800 ± 0.088,2.33 ± 0.85,0.106 ± 0.027,3.87 ± 1.75,-0.01 ± 0.01,41.7 ± 0.4,3.61 ± 2.42,3
Rosedene,WienerNet-SS (state-space),0.734 ± 0.008,6.46 ± 3.08,1.98 ± 0.07,0.399 ± 0.089,0.774 ± 0.076,0.830 ± 0.061,2.45 ± 0.56,0.065 ± 0.044,3.47 ± 0.90,0.00 ± 0.01,41.9 ± 0.2,4.05 ± 1.63,3
Rosedene,"WienerNet-SS (given-diurnal, Wiener)",0.735 ± 0.011,7.41 ± 2.40,1.96 ± 0.08,0.342 ± 0.065,0.732 ± 0.061,0.797 ± 0.053,2.20 ± 0.49,0.094 ± 0.038,3.80 ± 0.73,-0.00 ± 0.00,41.9 ± 0.0,3.17 ± 1.91,3
Rosedene,"WienerNet-SS (given-diurnal, state-sp)",0.730 ± 0.005,5.61 ± 1.80,2.00 ± 0.04,0.404 ± 0.043,0.784 ± 0.033,0.840 ± 0.028,2.57 ± 0.31,0.060 ± 0.021,3.25 ± 0.61,-0.00 ± 0.00,41.9 ± 0.0,4.82 ± 0.67,3
Rosedene,WienerNet-SS (predicted-k),0.725 ± 0.014,3.73 ± 0.92,2.07 ± 0.10,0.428 ± 0.074,0.810 ± 0.054,0.865 ± 0.043,2.88 ± 0.59,0.064 ± 0.063,2.59 ± 0.41,-0.01 ± 0.01,41.8 ± 0.6,6.91 ± 2.76,3
Rosedene,Neural SDE (Gaussian),0.754 ± 0.029,1.96 ± 0.19,2.32 ± 0.30,0.623 ± 0.122,0.876 ± 0.057,0.904 ± 0.046,4.05 ± 1.37,0.114 ± 0.063,1.36 ± 0.39,-0.02 ± 0.02,41.3 ± 0.6,13.25 ± 8.59,3
Rosedene,Neural SDE (Student-t),0.735 ± 0.004,1.58 ± 0.09,2.40 ± 0.08,0.458 ± 0.044,0.809 ± 0.032,0.865 ± 0.028,3.02 ± 0.30,0.041 ± 0.016,21.52 ± 29.38,0.00 ± 0.00,41.8 ± 0.2,15.24 ± 2.89,3
Rosedene,Neural SDE (ALD),0.731 ± 0.002,7.87 ± 5.11,2.02 ± 0.01,0.402 ± 0.041,0.782 ± 0.031,0.838 ± 0.026,2.60 ± 0.17,0.059 ± 0.021,3.78 ± 1.26,-0.00 ± 0.01,41.6 ± 0.4,5.38 ± 0.80,3
Rosedene,Mean-variance (Gaussian),0.750 ± 0.007,2.19 ± 0.14,2.43 ± 0.16,0.648 ± 0.020,0.881 ± 0.013,0.905 ± 0.011,4.25 ± 0.43,0.101 ± 0.012,1.56 ± 0.13,0.00 ± 0.00,41.8 ± 0.1,14.58 ± 1.78,3
Rosedene,Mean-variance (Student-t),0.755 ± 0.006,1.70 ± 0.13,2.95 ± 0.57,0.548 ± 0.085,0.838 ± 0.061,0.880 ± 0.053,4.23 ± 1.28,0.058 ± 0.021,18.68 ± 14.19,0.00 ± 0.00,42.0 ± 0.3,27.95 ± 15.48,3
Rosedene,Mean-variance (ALD),0.726 ± 0.002,3.19 ± 0.81,2.29 ± 0.23,0.527 ± 0.063,0.872 ± 0.032,0.911 ± 0.025,3.85 ± 0.82,0.046 ± 0.010,2.25 ± 0.44,-0.00 ± 0.00,41.6 ± 0.5,12.82 ± 5.67,3
Rosedene,Analytical SDE (Gaussian),0.784,2.04,2.33,0.738,0.910,0.931,4.69,0.142,1.21,-0.00,42.0,14.85,1
Rosedene,Analytical SDE (Student-t),0.765,1.54,1.85,0.406,0.680,0.726,1.55,0.108,3.66,-0.00,42.0,2.05,1
Rosedene,MDN (mixture),0.720 ± 0.015,1.45 ± 0.05,2.22 ± 0.14,0.476 ± 0.082,0.842 ± 0.058,0.895 ± 0.043,3.23 ± 0.83,0.044 ± 0.016,2.25 ± 1.03,-0.00 ± 0.00,42.0 ± 0.1,12.09 ± 7.72,3
Rosedene,Random Forest,—,—,1.61 ± 0.00,—,—,—,—,—,—,—,—,—,3
Rosedene,XGBoost,—,—,1.73 ± 0.00,—,—,—,—,—,—,—,—,—,3
Redmere 1,"WienerNet-SS (ALD, primary)",0.853 ± 0.139,4449584.29 ± 1868534.99,3.22 ± 0.55,0.492 ± 0.034,0.856 ± 0.037,0.897 ± 0.040,4.37 ± 0.57,0.061 ± 0.018,2926.39 ± 673.68,-4.40 ± 1.24,94.1 ± 32.5,44.79 ± 40.10,3
Redmere 1,WienerNet-SS (Gaussian),3.011 ± 4.006,2751064.34 ± 1480632.61,404.71 ± 696.68,0.668 ± 0.028,0.908 ± 0.010,0.929 ± 0.008,34.65 ± 52.55,0.106 ± 0.025,2288.66 ± 611.23,-2.19 ± 0.67,131.6 ± 12.3,10.98 ± 3.13,3
Redmere 1,WienerNet-SS (beta-NLL),0.943 ± 0.366,1402159.43 ± 316203.97,17.92 ± 26.29,0.655 ± 0.013,0.905 ± 0.006,0.926 ± 0.004,7.53 ± 5.02,0.118 ± 0.023,1666.32 ± 194.38,-2.97 ± 0.72,116.7 ± 13.6,15.29 ± 3.45,3
Redmere 1,WienerNet-SS (Student-t),0.743 ± 0.028,1.62 ± 0.06,3.33 ± 0.09,0.490 ± 0.015,0.853 ± 0.018,0.904 ± 0.017,4.35 ± 0.02,0.050 ± 0.019,3367.13 ± 151.34,-3.70 ± 1.36,121.1 ± 7.8,32.34 ± 11.87,3
Redmere 1,WienerNet-SS (mixture),0.932 ± 0.234,18596.50 ± 29949.84,24.68 ± 21.91,0.464 ± 0.083,0.916 ± 0.030,0.956 ± 0.014,9.57 ± 4.62,0.050 ± 0.020,133.00 ± 170.56,-3.56 ± 1.08,140.2 ± 12.9,26.24 ± 9.33,3
Redmere 1,WienerNet-SS (+residual),2.545 ± 2.980,2903159.79 ± 1955562.70,84.66 ± 140.90,0.539 ± 0.027,0.903 ± 0.014,0.938 ± 0.010,36.69 ± 54.19,0.057 ± 0.013,2324.48 ± 774.78,-3.73 ± 0.98,98.6 ± 18.0,24.23 ± 13.35,3
Redmere 1,WienerNet-SS (state-space),8.074 ± 7.838,2228879.63 ± 1419390.91,1122.33 ± 1182.34,0.540 ± 0.020,0.889 ± 0.019,0.925 ± 0.015,135.88 ± 140.12,0.037 ± 0.013,2042.09 ± 644.18,-4.51 ± 0.99,96.7 ± 18.9,21.98 ± 13.96,3
Redmere 1,"WienerNet-SS (given-diurnal, Wiener)",1.003 ± 0.679,62897.04 ± 57268.36,40.37 ± 66.11,0.538 ± 0.052,0.892 ± 0.032,0.927 ± 0.026,11.51 ± 12.42,0.043 ± 0.019,288.92 ± 251.93,-0.00 ± 0.00,13.2 ± 0.0,11.50 ± 2.46,3
Redmere 1,"WienerNet-SS (given-diurnal, state-sp)",1.256 ± 0.791,34089.92 ± 36075.94,160.92 ± 160.06,0.584 ± 0.010,0.914 ± 0.015,0.944 ± 0.011,16.53 ± 14.12,0.063 ± 0.003,208.95 ± 191.74,-0.00 ± 0.00,13.2 ± 0.0,20.12 ± 8.02,3
Redmere 1,WienerNet-SS (predicted-k),0.729 ± 0.038,2764624.65 ± 1519256.18,2.91 ± 0.09,0.514 ± 0.013,0.884 ± 0.014,0.925 ± 0.009,4.01 ± 0.28,0.027 ± 0.009,2293.52 ± 620.39,-4.85 ± 1.08,117.4 ± 14.7,12.85 ± 7.92,3
Redmere 1,Neural SDE (Gaussian),19.459 ± 25.548,29072521.20 ± 40091003.17,956.07 ± 1319.27,0.687 ± 0.015,0.929 ± 0.012,0.948 ± 0.011,163.32 ± 233.28,0.137 ± 0.029,5736.72 ± 6148.80,-332683.00 ± 561075.36,1281.3 ± 2.7,41.19 ± 41.68,3
Redmere 1,Neural SDE (Student-t),13.895 ± 11.431,1.51 ± 0.05,2832.06 ± 3974.86,0.478 ± 0.034,0.851 ± 0.009,0.910 ± 0.005,221.81 ± 202.88,0.035 ± 0.011,2092.47 ± 3403.17,-20920.45 ± 23708.89,1279.0 ± 10.3,48.73 ± 36.20,3
Redmere 1,Neural SDE (ALD),6.757 ± 4.644,43793874818.32 ± 64844613949.28,146.12 ± 108.32,0.535 ± 0.028,0.893 ± 0.019,0.930 ± 0.014,16.40 ± 19.74,0.051 ± 0.016,237233.88 ± 216319.80,-12807.52 ± 18959.63,1236.2 ± 40.7,16.60 ± 4.01,3
