Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Rosedene,WienerNet-SS (Gaussian),0.739 ± 0.020,1.92 ± 0.24,2.33 ± 0.27,0.621 ± 0.103,0.875 ± 0.054,0.904 ± 0.044,4.01 ± 1.14,0.094 ± 0.034,1.37 ± 0.37,-0.00 ± 0.01,41.3 ± 0.6,12.16 ± 4.04,5
Rosedene,WienerNet-SS (beta-NLL),0.726 ± 0.015,1.88 ± 0.22,2.24 ± 0.16,0.611 ± 0.087,0.871 ± 0.047,0.901 ± 0.038,3.67 ± 0.81,0.076 ± 0.030,1.39 ± 0.29,-0.00 ± 0.01,41.7 ± 0.4,10.56 ± 4.80,5
Rosedene,WienerNet-SS (Student-t),0.722 ± 0.007,1.58 ± 0.07,2.07 ± 0.11,0.478 ± 0.057,0.795 ± 0.041,0.845 ± 0.033,2.75 ± 0.46,0.051 ± 0.020,2.45 ± 0.36,-0.00 ± 0.00,41.8 ± 0.1,6.50 ± 2.91,5
Rosedene,WienerNet-SS (mixture),0.724 ± 0.004,1.88 ± 0.26,2.26 ± 0.21,0.494 ± 0.077,0.851 ± 0.058,0.901 ± 0.042,3.54 ± 0.99,0.048 ± 0.010,1.34 ± 0.34,-0.00 ± 0.00,41.8 ± 0.2,10.78 ± 5.42,5
Rosedene,WienerNet-SS (+residual),0.725 ± 0.010,3.81 ± 1.88,2.16 ± 0.23,0.458 ± 0.115,0.824 ± 0.081,0.874 ± 0.064,3.21 ± 1.06,0.059 ± 0.037,2.51 ± 0.84,-0.00 ± 0.01,41.8 ± 0.3,10.14 ± 5.63,5
Rosedene,WienerNet-SS (state-space),0.726 ± 0.009,3.96 ± 2.60,2.14 ± 0.22,0.474 ± 0.117,0.831 ± 0.083,0.879 ± 0.068,3.24 ± 1.10,0.053 ± 0.041,2.49 ± 1.03,-0.00 ± 0.00,41.8 ± 0.2,8.98 ± 6.07,5
Rosedene,"WienerNet-SS (given-diurnal, Wiener)",0.723 ± 0.007,4.48 ± 1.20,2.06 ± 0.10,0.408 ± 0.047,0.797 ± 0.040,0.853 ± 0.032,2.72 ± 0.46,0.056 ± 0.024,2.88 ± 0.48,-0.00 ± 0.00,41.9 ± 0.0,5.36 ± 1.90,5
Rosedene,"WienerNet-SS (given-diurnal, state-sp)",0.728 ± 0.004,3.70 ± 1.51,2.17 ± 0.25,0.474 ± 0.096,0.833 ± 0.065,0.879 ± 0.051,3.27 ± 1.07,0.053 ± 0.026,2.47 ± 0.75,-0.00 ± 0.00,41.9 ± 0.0,8.02 ± 4.93,5
Rosedene,WienerNet-SS (predicted-k),0.719 ± 0.005,3.24 ± 0.68,2.15 ± 0.16,0.442 ± 0.057,0.824 ± 0.037,0.876 ± 0.028,3.11 ± 0.56,0.046 ± 0.028,2.38 ± 0.34,0.00 ± 0.00,42.0 ± 0.0,6.99 ± 2.28,5
Rosedene,Neural SDE (Gaussian),0.747 ± 0.025,1.80 ± 0.09,2.38 ± 0.24,0.648 ± 0.070,0.894 ± 0.032,0.919 ± 0.025,4.24 ± 0.94,0.095 ± 0.030,1.24 ± 0.23,-0.01 ± 0.02,40.7 ± 0.8,13.81 ± 4.89,5
Rosedene,Neural SDE (Student-t),0.727 ± 0.003,1.56 ± 0.05,2.17 ± 0.15,0.543 ± 0.059,0.837 ± 0.039,0.878 ± 0.032,3.25 ± 0.62,0.052 ± 0.009,2.15 ± 0.39,-0.00 ± 0.00,41.8 ± 0.1,9.37 ± 3.68,5
Rosedene,Neural SDE (ALD),0.722 ± 0.006,2.99 ± 0.97,2.22 ± 0.19,0.492 ± 0.080,0.854 ± 0.047,0.899 ± 0.036,3.53 ± 0.89,0.043 ± 0.019,2.18 ± 0.53,-0.00 ± 0.00,41.9 ± 0.1,10.21 ± 5.01,5
