Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Rosedene,WienerNet-SS (+residual),1.61 ± 0.06,1.83 ± 0.21,2.41 ± 0.68,0.754 ± 0.044,0.953 ± 0.140,1.338 ± 0.225,0.223 ± 0.057,0.972 ± 0.025,13.29 ± 4.14,5
Rosedene,"WienerNet-SS (given-diurnal, Wiener)",1.55 ± 0.00,1.58 ± 0.00,1.85 ± 0.00,0.725 ± 0.017,0.848 ± 0.060,1.128 ± 0.109,0.252 ± 0.027,0.978 ± 0.012,10.64 ± 1.92,5
Rosedene,"WienerNet-SS (given-diurnal, state-sp)",1.55 ± 0.00,1.58 ± 0.00,1.85 ± 0.00,0.774 ± 0.056,0.961 ± 0.157,1.306 ± 0.222,0.292 ± 0.036,0.980 ± 0.020,13.63 ± 3.80,5
Rosedene,Neural SDE (Gaussian),1.66 ± 0.08,2.11 ± 0.34,3.05 ± 0.37,0.838 ± 0.079,1.211 ± 0.166,1.774 ± 0.200,0.210 ± 0.051,0.971 ± 0.032,15.91 ± 3.54,5
Rosedene,Neural SDE (Student-t),1.59 ± 0.03,1.73 ± 0.05,2.27 ± 0.20,0.774 ± 0.031,0.982 ± 0.085,1.385 ± 0.152,0.214 ± 0.030,0.983 ± 0.017,13.70 ± 2.91,5
Rosedene,Neural SDE (ALD),1.64 ± 0.15,1.81 ± 0.26,2.12 ± 0.26,0.770 ± 0.055,0.982 ± 0.136,1.341 ± 0.221,0.254 ± 0.043,0.989 ± 0.012,14.28 ± 3.62,5
Rosedene,Mean-variance (Gaussian),1.62 ± 0.05,1.82 ± 0.06,2.29 ± 0.22,0.907 ± 0.118,1.267 ± 0.233,1.764 ± 0.344,0.277 ± 0.041,0.996 ± 0.004,19.78 ± 5.61,5
Rosedene,Mean-variance (Student-t),1.57 ± 0.03,1.70 ± 0.06,2.20 ± 0.31,0.820 ± 0.048,1.103 ± 0.122,1.549 ± 0.224,0.267 ± 0.025,0.991 ± 0.011,17.01 ± 2.80,5
Rosedene,Mean-variance (ALD),1.59 ± 0.06,1.72 ± 0.10,2.14 ± 0.21,0.809 ± 0.081,1.082 ± 0.188,1.527 ± 0.315,0.274 ± 0.024,0.996 ± 0.002,17.55 ± 4.42,5
Rosedene,Analytical SDE (Gaussian),1.55,1.59,1.80,0.863,1.157,1.545,0.310,1.000,17.77,1
Rosedene,Analytical SDE (Student-t),1.55,1.59,1.80,0.736,0.760,0.916,0.144,0.913,5.89,1
Rosedene,MDN (mixture),1.64 ± 0.12,1.85 ± 0.25,2.39 ± 0.32,0.809 ± 0.041,1.102 ± 0.119,1.595 ± 0.244,0.237 ± 0.032,0.989 ± 0.009,16.95 ± 3.61,5
Rosedene,Random Forest,1.97 ± 0.01,1.24 ± 0.01,1.18 ± 0.01,—,—,—,—,—,—,5
Rosedene,XGBoost,2.12 ± 0.00,1.33 ± 0.00,1.25 ± 0.00,—,—,—,—,—,—,5
Redmere 1,"WienerNet-SS (ALD, primary)",5.85 ± 0.82,8.63 ± 1.36,3.16 ± 0.18,1.380 ± 0.088,2.195 ± 0.171,1.503 ± 0.079,0.281 ± 0.032,0.988 ± 0.014,13.36 ± 1.43,5
Redmere 1,WienerNet-SS (Gaussian),6.06 ± 0.97,8.94 ± 1.40,3.56 ± 0.58,18.709 ± 38.777,33.960 ± 70.976,6.797 ± 11.647,0.259 ± 0.032,0.982 ± 0.020,71.25 ± 126.02,5
Redmere 1,WienerNet-SS (beta-NLL),5.75 ± 1.02,8.62 ± 1.62,4.37 ± 1.31,25.451 ± 36.745,46.280 ± 67.145,8.997 ± 10.846,0.267 ± 0.026,0.985 ± 0.013,93.66 ± 119.71,5
Redmere 1,WienerNet-SS (Student-t),5.42 ± 0.44,8.07 ± 0.72,3.21 ± 0.41,8.434 ± 16.080,15.226 ± 29.535,3.573 ± 4.846,0.216 ± 0.028,0.977 ± 0.024,46.52 ± 76.33,5
Redmere 1,WienerNet-SS (mixture),5.17 ± 1.00,7.57 ± 1.74,3.04 ± 0.14,1.242 ± 0.112,2.003 ± 0.218,1.493 ± 0.083,0.260 ± 0.024,0.992 ± 0.007,15.36 ± 0.48,5
Redmere 1,WienerNet-SS (+residual),5.61 ± 0.63,8.32 ± 0.98,3.20 ± 0.34,16.224 ± 14.543,29.713 ± 26.850,5.551 ± 3.827,0.286 ± 0.021,0.994 ± 0.005,91.60 ± 75.04,5
Redmere 1,"WienerNet-SS (given-diurnal, Wiener)",1.62 ± 0.00,1.81 ± 0.00,1.43 ± 0.00,6.824 ± 10.049,12.239 ± 18.629,2.902 ± 2.685,0.328 ± 0.015,0.998 ± 0.002,44.69 ± 51.56,5
Redmere 1,"WienerNet-SS (given-diurnal, state-sp)",1.62 ± 0.00,1.81 ± 0.00,1.43 ± 0.00,12.494 ± 17.665,22.739 ± 32.735,4.439 ± 4.706,0.314 ± 0.017,0.997 ± 0.003,73.61 ± 90.34,5
Redmere 1,Neural SDE (Gaussian),618.88 ± 588.25,840.83 ± 799.27,362.39 ± 344.36,34.424 ± 31.994,65.267 ± 61.290,10.938 ± 8.837,0.278 ± 0.025,0.987 ± 0.008,86.59 ± 91.15,5
Redmere 1,Neural SDE (Student-t),651.54 ± 528.19,885.02 ± 717.47,381.62 ± 309.41,54.388 ± 15.190,98.530 ± 27.160,17.411 ± 4.498,0.280 ± 0.039,0.982 ± 0.014,198.36 ± 62.26,5
Redmere 1,Neural SDE (ALD),86.86 ± 89.41,117.99 ± 121.46,50.97 ± 52.31,12.574 ± 12.977,22.674 ± 23.591,4.523 ± 3.524,0.295 ± 0.042,0.996 ± 0.005,67.70 ± 74.74,5
Redmere 1,Mean-variance (Gaussian),261.67 ± 404.03,355.48 ± 548.94,153.33 ± 236.47,21.672 ± 31.877,40.244 ± 60.108,8.018 ± 9.608,0.294 ± 0.025,0.991 ± 0.004,25.94 ± 15.26,5
Redmere 1,Mean-variance (Student-t),123.09 ± 128.33,167.22 ± 174.35,72.17 ± 75.02,10.514 ± 10.588,19.235 ± 19.762,4.505 ± 3.878,0.267 ± 0.028,0.989 ± 0.006,21.13 ± 16.98,5
Redmere 1,Mean-variance (ALD),124.78 ± 136.92,169.46 ± 186.08,73.20 ± 80.01,10.184 ± 10.530,18.732 ± 19.917,3.995 ± 3.174,0.284 ± 0.028,0.997 ± 0.001,14.65 ± 3.29,5
Redmere 1,Analytical SDE (Gaussian),1.60,1.76,1.30,0.904,1.291,1.686,0.309,1.000,21.07,1
Redmere 1,Analytical SDE (Student-t),1.60,1.76,1.30,0.766,0.885,0.794,0.183,0.973,6.74,1
Redmere 1,MDN (mixture),49.89 ± 55.38,67.74 ± 75.26,29.52 ± 32.07,4.684 ± 3.763,8.356 ± 7.083,3.042 ± 1.089,0.260 ± 0.031,0.994 ± 0.004,27.09 ± 14.51,5
Redmere 1,Random Forest,1.45 ± 0.01,1.20 ± 0.01,0.89 ± 0.01,—,—,—,—,—,—,5
Redmere 1,XGBoost,1.52 ± 0.00,1.28 ± 0.00,0.90 ± 0.00,—,—,—,—,—,—,5
Redmere 2,"WienerNet-SS (ALD, primary)",1.89 ± 0.07,1.99 ± 0.23,1.93 ± 0.58,0.970 ± 0.055,1.286 ± 0.151,1.530 ± 0.308,0.351 ± 0.027,0.994 ± 0.011,16.68 ± 3.83,5
Redmere 2,WienerNet-SS (Gaussian),1.91 ± 0.16,2.24 ± 0.85,3.25 ± 2.28,1.017 ± 0.120,1.407 ± 0.377,1.798 ± 0.791,0.295 ± 0.040,0.972 ± 0.032,17.02 ± 5.38,5
Redmere 2,WienerNet-SS (beta-NLL),1.87 ± 0.05,1.82 ± 0.13,1.81 ± 0.18,1.009 ± 0.079,1.305 ± 0.202,1.467 ± 0.324,0.292 ± 0.037,0.990 ± 0.010,16.91 ± 4.78,5
Redmere 2,WienerNet-SS (Student-t),1.86 ± 0.07,1.83 ± 0.16,1.86 ± 0.21,0.966 ± 0.054,1.228 ± 0.141,1.393 ± 0.277,0.271 ± 0.034,0.986 ± 0.012,15.55 ± 3.90,5
Redmere 2,WienerNet-SS (mixture),1.87 ± 0.05,1.87 ± 0.09,1.81 ± 0.11,0.941 ± 0.066,1.211 ± 0.121,1.364 ± 0.124,0.281 ± 0.013,0.998 ± 0.002,16.15 ± 1.82,5
Redmere 2,WienerNet-SS (+residual),1.85 ± 0.05,1.90 ± 0.13,2.00 ± 0.38,0.917 ± 0.062,1.149 ± 0.148,1.361 ± 0.271,0.284 ± 0.021,0.993 ± 0.010,13.98 ± 3.79,5
Redmere 2,"WienerNet-SS (given-diurnal, Wiener)",1.82 ± 0.00,1.75 ± 0.00,1.66 ± 0.00,0.969 ± 0.051,1.275 ± 0.087,1.428 ± 0.124,0.335 ± 0.012,0.999 ± 0.001,16.50 ± 1.59,5
