model,n_runs,comp_rmse,comp_bias,amp_obs,amp_pred,amp_ratio,comp_r2
GT-k (primary),12,0.218 ± 0.208,0.101 ± 0.210,1.999 ± 0.465,2.056 ± 0.485,1.044 ± 0.175,0.849 ± 0.281
predicted-k,12,0.291 ± 0.481,0.194 ± 0.502,1.999 ± 0.465,1.923 ± 0.408,0.974 ± 0.112,0.522 ± 1.365
