model,site,seed,hour_bin,n,rmse,mae,bias,crps,cov90,sharp90,pit_ks
predicted-k,woodwalton,42,06-09,1421,1.8942889237614877,1.088540669257984,0.8260783401123241,0.9515189092398412,0.4595355383532723,0.8881955740847342,0.36574090202827464
predicted-k,rosedene,0,06-09,214,0.5659977765692664,0.37549187981079674,-0.0003629538500420401,0.2922177262771561,0.7149532710280374,0.8902049008071156,0.11090034237068569
predicted-k,rosedene,1,06-09,214,0.5700322572860493,0.3774342069001955,0.07351519459875945,0.2908600743272107,0.7850467289719626,1.0981153815350664,0.07976311649856577
predicted-k,rosedene,42,06-09,214,0.5745666850329667,0.3818193839810719,0.10359215471789102,0.2977936250357845,0.7616822429906542,1.047859949231366,0.12103266401406493
predicted-k,redmere_1,0,06-09,269,0.8423127303986582,0.5484039631696439,0.06847229799373443,0.426428012683406,0.862453531598513,2.234105576905296,0.07274835290220472
predicted-k,redmere_1,1,06-09,269,0.8338285899181339,0.5448042330467124,0.0593450405119077,0.41509123095246275,0.8550185873605948,2.036464265672593,0.065423828628216
predicted-k,redmere_1,42,06-09,269,0.8605469400609916,0.5542928767027022,0.06804160291820653,0.4240169008785575,0.8587360594795539,2.0573964976693753,0.06538702197357282
predicted-k,redmere_2,0,06-09,589,1.1458956942652305,0.6600212354781438,0.0874290599615008,0.53959245185304,0.7860780984719864,2.2116951752162453,0.08378859957303031
predicted-k,redmere_2,1,06-09,589,1.1487818740797757,0.661172977762126,0.10111671950350276,0.5327204207778629,0.7894736842105263,2.279061166532283,0.07785472944577987
predicted-k,redmere_2,42,06-09,589,1.15087663189902,0.6678800996853883,0.14994639794007006,0.5412552687116892,0.8370118845500849,2.6655485860565773,0.13161256702919866
predicted-k,great_fen,0,06-09,612,1.2372781593315534,0.8770437036074844,0.12699376543362936,0.6855906829584026,0.8611111111111112,3.7689911327371224,0.0662978062512134
predicted-k,great_fen,1,06-09,612,1.2316289334493737,0.8644854463393392,0.09268809747851751,0.7133531444071943,0.8218954248366013,4.227153530757804,0.06610366919044841
predicted-k,great_fen,42,06-09,612,1.2506302616121299,0.8881175929035237,0.16913877223052232,0.6829362846707498,0.7205882352941176,2.671928403759759,0.10239112146508769
