model,n_runs,comp_rmse,comp_bias,amp_obs,amp_pred,amp_ratio,comp_r2
GT-k (primary),15,0.201 ± 0.188,0.078 ± 0.195,1.910 ± 0.452,1.938 ± 0.504,1.024 ± 0.172,0.870 ± 0.253
predicted-k,15,0.271 ± 0.428,0.186 ± 0.445,1.910 ± 0.452,1.879 ± 0.373,0.999 ± 0.112,0.598 ± 1.221
