model,n_runs,rmse_dn,mae_dn,bias_dn,corr_dn,rmse_ref_dn,sd_dn,rmse_ob,mae_ob,corr_ob,rmse_ref_ob,sd_ob,sd_pred
GT-k (primary),12,0.0525 ± 0.0456,0.0242 ± 0.0189,0.0082 ± 0.0235,-0.102 ± 0.146,0.0045 ± 0.0002,0.0045 ± 0.0002,0.0547 ± 0.0446,0.0270 ± 0.0188,-0.055 ± 0.089,0.0114 ± 0.0015,0.0114 ± 0.0015,0.0483 ± 0.0425
predicted-k,12,0.0293 ± 0.0519,0.0248 ± 0.0510,0.0169 ± 0.0537,0.052 ± 0.159,0.0045 ± 0.0002,0.0045 ± 0.0002,0.0326 ± 0.0509,0.0274 ± 0.0501,0.040 ± 0.085,0.0114 ± 0.0015,0.0114 ± 0.0015,0.0141 ± 0.0147
