model,n_runs,rmse,mae,bias,crps,cov90,sharp90,pit_ks
GT-k (primary),12,1.765 ± 0.334,0.937 ± 0.214,0.124 ± 0.248,0.766 ± 0.153,0.726 ± 0.120,2.72 ± 1.42,0.109 ± 0.067
predicted-k,12,1.794 ± 0.377,1.017 ± 0.296,0.196 ± 0.518,0.850 ± 0.305,0.647 ± 0.234,2.38 ± 1.21,0.176 ± 0.215
