scope,model,rmse_h0-2,rmse_h2-5,rmse_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+
clean4,WN-SS (mixture),1.631,2.054,2.625,0.837,1.207,1.689,,,,0.897,0.94,0.941,,,,0.612,0.763,0.804,,,,0.934,0.957,0.953,,,,6.489,11.17,15.072,,,,0.132,0.203,0.26,,,
clean4,WN-SS (+residual),1.629,2.072,2.666,0.841,1.194,1.696,,,,0.839,0.883,0.877,,,,0.574,0.682,0.712,,,,0.872,0.899,0.892,,,,5.585,9.327,12.505,,,,0.159,0.228,0.295,,,
clean4,"WN-SS (given-diurnal, st-sp)",1.534,1.692,1.798,0.812,1.066,1.309,0.889,1.122,1.348,0.864,0.917,0.932,0.962,0.976,0.98,0.611,0.722,0.775,0.805,0.83,0.848,0.897,0.935,0.947,0.975,0.983,0.986,5.744,9.55,12.678,7.975,11.152,13.965,0.146,0.216,0.265,0.207,0.238,0.271
clean4,"WN-SS (given-diurnal, Wiener)",1.534,1.692,1.798,0.801,1.048,1.275,,,,0.848,0.895,0.907,,,,0.578,0.693,0.738,,,,0.882,0.915,0.924,,,,5.431,8.983,11.63,,,,0.14,0.203,0.26,,,
clean4,Neural SDE (Gaussian),1.746,2.527,3.782,0.941,1.466,2.229,,,,0.902,0.929,0.905,,,,0.673,0.709,0.693,,,,0.926,0.946,0.924,,,,6.87,11.524,15.048,,,,0.174,0.217,0.262,,,
clean4,Neural SDE (Student-t),1.618,2.017,2.54,0.852,1.176,1.544,,,,0.855,0.913,0.923,,,,0.617,0.705,0.741,,,,0.886,0.93,0.934,,,,5.816,9.906,13.29,,,,0.139,0.197,0.244,,,
clean4,Neural SDE (ALD),1.642,2.06,2.505,0.847,1.192,1.581,,,,0.852,0.889,0.883,,,,0.58,0.686,0.723,,,,0.887,0.911,0.896,,,,5.893,9.823,12.817,,,,0.163,0.237,0.312,,,
clean4,mean-var (Gaussian),1.594,1.912,2.243,0.878,1.206,1.486,,,,0.907,0.954,0.971,,,,0.71,0.782,0.807,,,,0.931,0.969,0.983,,,,6.795,11.244,14.553,,,,0.161,0.206,0.243,,,
clean4,mean-var (Student-t),1.586,1.914,2.274,0.831,1.123,1.411,,,,0.865,0.927,0.944,,,,0.623,0.712,0.752,,,,0.897,0.947,0.96,,,,5.695,9.619,12.796,,,,0.136,0.186,0.246,,,
clean4,mean-var (ALD),1.565,1.84,2.055,0.84,1.133,1.388,,,,0.897,0.95,0.97,,,,0.647,0.762,0.805,,,,0.929,0.964,0.982,,,,6.514,10.731,13.885,,,,0.138,0.198,0.253,,,
clean4,Analytical (Gaussian),1.524,1.678,1.776,0.899,1.261,1.709,,,,0.955,0.992,0.998,,,,0.816,0.905,0.952,,,,0.963,0.995,0.999,,,,7.754,13.512,20.38,,,,0.201,0.256,0.302,,,
clean4,Analytical (Student-t),1.524,1.678,1.776,0.751,0.866,0.99,,,,0.804,0.895,0.949,,,,0.549,0.659,0.767,,,,0.843,0.921,0.958,,,,2.965,5.164,7.819,,,,0.097,0.116,0.175,,,
clean4,MDN (mixture),1.562,1.805,2.076,0.813,1.076,1.347,,,,0.885,0.947,0.97,,,,0.608,0.743,0.809,,,,0.921,0.964,0.981,,,,5.974,10.04,13.316,,,,0.134,0.189,0.237,,,
clean4,Random Forest,1.809,1.414,1.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean4,XGBoost,2.116,1.641,1.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
