site,seed,model,rmse_h0-2,rmse_h2-5,rmse_h5+,covraw_h0-2,covraw_h2-5,covraw_h5+,covfix_h0-2,covfix_h2-5,covfix_h5+,crpsraw_h0-2,crpsraw_h2-5,crpsraw_h5+,crpsfix_h0-2,crpsfix_h2-5,crpsfix_h5+,pitksraw_h0-2,pitksraw_h2-5,pitksraw_h5+,pitksfix_h0-2,pitksfix_h2-5,pitksfix_h5+,cov50raw_h0-2,cov50raw_h2-5,cov50raw_h5+,cov50fix_h0-2,cov50fix_h2-5,cov50fix_h5+,cov95raw_h0-2,cov95raw_h2-5,cov95raw_h5+,cov95fix_h0-2,cov95fix_h2-5,cov95fix_h5+,sharpraw_h0-2,sharpraw_h2-5,sharpraw_h5+,sharpfix_h0-2,sharpfix_h2-5,sharpfix_h5+
woodwalton,0,WN-SS (ALD),1.148476594823112,2.252607045646184,3.056658164293898,0.77,0.7381183317167799,0.6674897119341564,0.96125,0.92725509214355,0.8650205761316873,0.5585678491977498,1.0234744099229511,1.551385392419158,0.6651558752600971,1.041303090522585,1.5151475227405051,0.08125,0.0983317167798254,0.1432921810699588,0.2162499999999999,0.1147429679922406,0.0556378600823045,0.49875,0.4374393792434529,0.3925925925925926,0.83,0.6702230843840931,0.5415637860082304,0.8075,0.7672162948593598,0.7448559670781894,0.9775,0.9495635305528612,0.9061728395061728,2.3574282848644064,3.911834022519834,5.112050224163036,5.878904395109043,6.8076592311234165,7.627438260146987
woodwalton,0,WN-SS (Gaussian),1.5730024731545285,3.2499505549365417,6.105129302906079,0.93,0.9194956353055286,0.8477366255144033,,,,0.8023633608066888,1.5682163104647338,2.921678571960198,,,,0.1675,0.1380213385063045,0.0711111111111111,,,,0.7775,0.6993210475266731,0.5341563786008231,,,,0.95125,0.9408341416100872,0.8847736625514403,,,,6.805209997029974,12.012990031928314,15.256022186841005,,,
woodwalton,0,WN-SS (beta-NLL),1.1949816466979124,2.186080352974618,5.330741418292744,0.86625,0.8341416100872939,0.7530864197530864,,,,0.6008031440363946,1.135668105070099,2.3697915242583725,,,,0.21875,0.2128031037827352,0.3411522633744855,,,,0.64,0.5751697381183317,0.4403292181069959,,,,0.89875,0.8603297769156159,0.7958847736625514,,,,3.3869491553078404,5.89654759913683,7.807017931630797,,,
woodwalton,0,WN-SS (Student-t),1.288200281118037,2.7472942496941246,5.290488221153435,0.87375,0.8777885548011639,0.8362139917695474,,,,0.7109677889358197,1.406463755052126,2.631040542300333,,,,0.20375,0.2186905916585838,0.2595061728395061,,,,0.68875,0.6285160038797284,0.6106995884773663,,,,0.9125,0.9078564500484966,0.8732510288065843,,,,5.578486004957929,9.947419824339738,15.38162868987416,,,
woodwalton,0,WN-SS (mixture),2.287776174356908,5.503183417116292,8.719636793205126,0.85875,0.8351115421920465,0.8148148148148148,,,,0.977560462730056,2.235081850749329,3.8169537061578462,,,,0.1587499999999999,0.1552764306498545,0.1989711934156378,,,,0.6175,0.5732298739088264,0.4897119341563786,,,,0.90375,0.8797284190106692,0.8510288065843621,,,,5.288222875559236,9.46969949752562,13.26353900428846,,,
woodwalton,0,WN-SS (+residual),1.3443176253326996,2.63899485790021,5.52337721404878,0.265,0.1784675072744908,0.0814814814814814,,,,0.8612551718585286,1.9710012364682603,4.491171542038907,,,,0.5887500000000001,0.6974490785645004,0.8514814814814815,,,,0.0825,0.066925315227934,0.0288065843621399,,,,0.32,0.2017458777885548,0.1037037037037037,,,,1.030499730227515,1.8501943926152589,2.402204924396281,,,
woodwalton,0,"WN-SS (given-diurnal, st-sp)",1.0683689129650298,1.6423455968886589,1.9728182551421345,0.94,0.959262851600388,0.9843621399176956,0.98625,0.9844810863239574,0.9917695473251028,0.6866388426332722,1.1737832013364735,1.6243608661632034,0.7976798721786489,1.235764129943556,1.6627445423221665,0.2149999999999999,0.2338409311348205,0.2095061728395061,0.25,0.2451115421920465,0.2258436213991769,0.79875,0.8157129000969933,0.8181069958847736,0.89625,0.8632395732298739,0.8674897119341564,0.95375,0.9670223084384092,0.9893004115226336,0.99125,0.9932104752667312,0.9925925925925926,7.286875073847825,12.370597209988086,18.149305339460817,9.105604942362756,13.616166339031665,19.051035774197477
woodwalton,0,"WN-SS (given-diurnal, Wiener)",1.0683689129650298,1.6423455968886589,1.9728182551421345,0.72875,0.6925315227934045,0.6847736625514403,,,,0.5131693443795815,0.8296690139469819,1.0178204700367262,,,,0.11625,0.1157904946653733,0.1353086419753086,,,,0.45875,0.4277400581959263,0.3868312757201646,,,,0.76625,0.7371483996120272,0.731687242798354,,,,1.6994122213702647,2.9700756699529727,3.954449984164364,,,
woodwalton,0,Neural SDE (Gaussian),1.240601865915813,2.1838372529365264,3.1584725802303786,0.7075,0.6789524733268671,0.5901234567901235,,,,0.618391608834567,1.131967826461168,1.694619881189992,,,,0.1149999999999999,0.123850630455868,0.169753086419753,,,,0.4675,0.4258001939864209,0.3292181069958848,,,,0.7525,0.7109602327837051,0.6551440329218107,,,,2.1885354798710903,3.653739719992552,4.266621724459737,,,
woodwalton,0,Neural SDE (Student-t),1.0833724558436426,1.689046449760466,2.1895603315275314,0.92625,0.9408341416100872,0.9810699588477366,,,,0.6518661688674898,1.1379228121148115,1.6139369290864995,,,,0.1949999999999999,0.2109311348205625,0.2600823045267489,,,,0.76625,0.7710960232783706,0.8337448559670781,,,,0.9425,0.9631425800193988,0.9909465020576133,,,,6.1455488038389,11.460724940759452,17.907673413742778,,,
